aX,aY,aZ,gX,gY,gZ,sample
0.922,-1.759,-0.274,3.784,-23.987,67.017,1
0.938,-1.92,-0.283,12.512,-32.288,115.112,1
0.929,-2.021,-0.326,17.578,-40.527,170.715,1
0.893,-1.926,-0.37,7.996,-49.622,228.21,1
0.838,-1.708,-0.476,-13.977,-59.448,280.396,1
0.767,-1.368,-0.596,-39.246,-74.402,321.35,1
0.635,-1.01,-0.582,-61.462,-96.252,348.511,1
0.511,-0.734,-0.609,-76.782,-118.896,367.798,1
0.423,-0.472,-0.45,-78.186,-134.644,397.827,1
0.28,-0.215,-0.146,-66.467,-136.597,445.801,1
0.119,-0.22,-0.062,-39.246,-132.263,504.211,1
0.02,0.388,0.067,-29.541,-130.432,538.635,1
-0.261,0.957,0.296,-7.751,-130.676,576.416,1
-0.349,1.396,0.518,36.377,-126.221,582.092,1
-0.354,1.509,0.544,75.623,-109.558,559.021,1
-0.273,1.706,0.548,85.51,-90.698,517.883,1
-0.344,1.97,0.504,54.443,-85.266,455.505,1
-0.343,2.153,0.181,3.357,-86.731,374.817,1
-0.327,2.251,0.124,-50.903,-98.938,280.334,1
-0.437,2.139,0.315,-90.027,-124.573,189.758,1
-0.455,1.799,0.53,-99.731,-137.756,123.047,1
-0.341,1.411,0.608,-90.027,-128.113,83.923,1
-0.344,1.226,0.727,-77.271,-112.732,66.895,1
-0.339,1.14,0.817,-57.19,-89.172,63.599,1
-0.238,1.084,0.723,-32.043,-54.138,67.2,1
-0.1,1.068,0.551,-10.193,-21.362,71.899,1
-0.021,1.147,0.444,2.502,-0.183,71.289,1
0.026,1.193,0.395,8.606,9.766,63.232,1
0.086,1.195,0.314,9.888,13.672,50.354,1
0.134,1.181,0.264,5.615,13.916,33.752,1
0.145,1.163,0.228,-0.183,9.399,15.076,1
0.175,1.146,0.187,-5.127,7.751,-4.456,1
0.181,1.144,0.186,-8.118,8.24,-21.912,1
0.167,1.065,0.174,-7.019,8.118,-34.485,1
0.216,0.906,0.141,-7.568,9.949,-47.363,1
0.274,0.888,0.173,-16.907,17.7,-64.026,1
0.284,0.903,0.178,-24.414,22.705,-75.684,1
0.285,0.938,0.186,-28.32,26.367,-83.496,1
0.291,1.032,0.179,-32.166,30.029,-92.651,1
0.275,1.166,0.186,-36.072,33.569,-105.347,1
0.304,1.26,0.119,-36.865,36.316,-120.789,1
0.289,1.435,0.119,-39.185,33.936,-143.127,1
0.229,1.668,0.15,-44.312,26.733,-176.392,1
0.125,1.881,0.177,-45.654,15.442,-219.604,1
-0.012,2.049,0.169,-41.016,0.61,-270.874,1
-0.173,2.204,0.166,-32.043,-15.076,-331.909,1
-0.361,2.454,0.141,-12.573,-28.625,-397.827,1
-0.607,2.571,0.076,25.391,-33.081,-452.271,1
-0.894,2.416,0.212,82.397,-17.395,-481.506,1
-1.008,2.026,0.395,149.536,30.273,-497.131,1
-0.906,1.609,0.455,213.013,96.863,-510.071,1
-0.446,1.078,0.528,254.517,151.062,-516.724,1
-0.364,0.637,0.355,255.615,124.084,-516.541,1
-0.445,0.2,0.258,234.497,97.473,-506.653,1
0.095,-0.416,0.078,212.28,140.747,-493.835,1
0.362,-0.89,-0.018,167.48,146.362,-473.999,1
0.469,-1.082,-0.081,105.53,127.93,-441.772,1
0.449,-1.201,-0.239,56.763,118.103,-396.057,1
0.505,-1.168,-0.448,22.827,114.685,-359.314,1
0.589,-1.247,-0.723,14.648,106.934,-320.435,1
0.675,-1.494,-0.997,23.56,89.111,-277.649,1
0.737,-1.742,-1.099,29.114,69.885,-240.112,1
0.763,-1.99,-0.945,34.729,54.871,-205.566,1
0.847,-2.169,-0.797,45.166,45.654,-162.598,1
0.954,-2.213,-0.747,53.65,35.522,-111.145,1
