aX,aY,aZ,gX,gY,gZ,sample
0.784,0.168,2.468,41.321,413.757,71.411,1
0.292,-0.135,3.131,82.642,386.169,95.276,1
-0.152,-0.481,3.241,98.083,342.957,104.37,1
-0.281,-0.625,2.964,73.12,275.391,83.374,1
-0.186,-0.549,2.551,37.354,222.9,45.41,1
-0.042,-0.389,2.17,11.536,168.518,12.451,1
0.018,-0.246,1.901,0.732,123.962,-6.165,1
0.084,-0.16,1.746,-1.953,96.802,-13.916,1
0.102,-0.146,1.653,-5.615,71.838,-15.625,1
0.12,-0.156,1.628,-13.733,44.434,-17.395,1
0.035,-0.158,1.71,-25.024,9.033,-21.301,1
-0.05,-0.072,1.75,-34.729,-37.415,-24.841,1
-0.002,-0.08,1.808,-23.193,-55.237,-27.039,1
0.031,-0.172,1.778,-6.653,-83.13,-25.024,1
0.095,-0.192,1.65,-3.967,-125.732,-19.043,1
0.286,-0.189,1.461,-9.094,-154.907,-18.311,1
0.249,-0.153,1.296,-15.503,-170.898,-19.897,1
0.203,-0.043,1.189,-22.644,-181.396,-24.902,1
0.157,0.131,1.294,-34.912,-177.063,-37.842,1
0.089,-0.014,1.392,-49.5,-167.725,-49.561,1
0.07,-0.214,1.36,-81.36,-172.058,-61.157,1
0.097,-0.137,1.252,-139.16,-191.162,-81.36,1
0.081,-0.118,1.117,-192.871,-213.196,-94.36,1
0.168,-0.307,0.798,-221.558,-232.788,-95.52,1
0.178,-0.282,0.466,-242.31,-249.023,-99.548,1
0.212,-0.187,0.218,-243.591,-255.554,-91.797,1
0.154,-0.141,0.118,-203.491,-247.864,-57.312,1
0.027,-0.048,0.16,-132.019,-225.586,-14.221,1
-0.078,0.026,0.35,-49.805,-185.73,17.639,1
-0.112,-0.029,0.517,18.921,-144.775,38.696,1
-0.087,-0.033,0.548,53.528,-118.774,45.593,1
-0.125,0.031,0.536,63.11,-97.351,39.612,1
-0.075,0.124,0.481,65.918,-68.604,28.381,1
-0.146,0.144,0.429,63.477,-66.956,28.87,1
-0.152,0.171,0.43,54.993,-41.199,12.085,1
-0.155,0.119,0.503,43.823,-1.038,-6.592,1
-0.208,0.111,0.573,26.062,15.93,-17.7,1
-0.211,0.187,0.633,13.794,22.766,-19.348,1
-0.194,0.224,0.746,12.817,33.813,-19.165,1
-0.205,0.24,0.899,18.86,44.373,-17.517,1
-0.212,0.229,1.037,26.306,52.368,-15.503,1
-0.214,0.246,1.092,30.151,56.458,-13.367,1
-0.23,0.246,1.062,27.039,55.42,-14.038,1
-0.241,0.246,0.984,21.545,58.105,-14.404,1
-0.239,0.233,0.864,20.081,63.843,-12.573,1
-0.194,0.18,0.701,28.442,75.806,-8.423,1
-0.136,0.076,0.522,39.185,90.515,-1.709,1
-0.059,0.003,0.337,43.152,105.896,5.676,1
-0.004,0.063,0.266,43.396,128.906,10.559,1
-0.01,0.208,0.607,51.636,155.457,15.869,1
0.014,0.108,1.047,75.317,171.875,27.466,1
-0.021,-0.055,1.33,89.905,166.626,34.668,1
-0.078,-0.098,1.447,83.74,151.367,34.119,1
-0.083,-0.042,1.398,63.293,138.55,26.917,1
-0.055,0.049,1.33,39.063,129.028,16.907,1
-0.02,0.097,1.247,20.508,120.667,6.775,1
-0.006,0.098,1.141,9.033,112.183,-0.183,1
0.028,0.059,1.008,1.099,108.276,-2.625,1
0.061,-0.05,0.92,-7.69,104.614,-1.892,1
0.083,-0.092,0.884,-13.977,96.069,2.197,1
0.121,-0.084,0.864,-12.573,93.689,3.967,1
0.104,0.009,0.987,-7.324,90.515,2.075,1
-0.025,0.128,1.312,8.545,82.275,3.479,1
-0.085,0.154,1.838,44.617,61.89,13.55,1
-0.152,-0.086,2.227,84.656,-8.484,30.701,1
-0.238,-0.327,1.894,99.792,-91.919,29.236,1
-0.275,-0.236,1.34,81.604,-91.003,-0.916,1
-0.046,-0.094,1.084,39.673,-46.082,-13.55,1
0.072,-0.014,0.926,12.207,-26.367,-16.479,1
0.104,-0.035,0.851,10.559,-31.25,-11.658,1
0.106,-0.092,0.88,22.095,-40.588,-1.892,1
0.036,-0.121,1.004,33.264,-49.133,6.348,1
-0.003,-0.078,1.113,39.673,-55.359,10.559,1
-0.056,-0.045,1.144,34.851,-49.561,7.202,1
-0.002,-0.026,1.064,26.733,-34.729,-0.305,1
0.043,-0.069,0.996,15.015,-21.79,-4.761,1
0.013,-0.089,0.975,6.775,-12.756,-3.357,1
0.022,-0.124,0.992,3.845,-10.376,-1.465,1
0.005,-0.161,1.021,6.104,-12.573,-1.099,1
-0.017,-0.174,1.022,8.972,-12.634,-2.502,1
-0.013,-0.147,1.003,7.324,-11.658,-3.296,1
0.005,-0.103,0.989,0.61,-8.24,-3.906,1
0.005,-0.079,0.991,-5.737,-4.395,-4.395,1
-0.001,-0.052,0.986,-7.751,-2.38,-3.296,1
-0.008,-0.045,0.996,-7.874,0.549,-0.793,1
-0.012,-0.059,0.993,-7.751,2.075,2.136,1
-0.003,-0.097,1.022,-10.01,-2.563,5.249,1
-0.021,-0.112,1.001,-7.629,-3.723,7.996,1
-0.012,-0.129,1.002,-5.31,-3.357,9.216,1
