aX,aY,aZ,gX,gY,gZ,Sample No
0.786,0.488,-0.292,-6.104,1.099,-1.709,12
0.782,0.488,-0.293,-8.789,1.587,-1.16,12
0.78,0.482,-0.295,-11.23,1.648,-0.244,12
0.784,0.476,-0.289,-13.306,1.77,0.732,12
0.786,0.477,-0.281,-14.709,1.892,1.709,12
0.786,0.476,-0.272,-15.625,1.587,2.747,12
0.791,0.473,-0.271,-15.808,1.221,3.601,12
0.804,0.47,-0.277,-15.503,1.709,4.456,12
0.803,0.469,-0.286,-15.259,1.282,5.005,12
0.807,0.463,-0.289,-14.587,0.671,5.127,12
0.813,0.458,-0.298,-14.099,0.549,4.578,12
0.816,0.45,-0.304,-13.855,0,4.333,12
0.809,0.44,-0.31,-13.55,-1.282,4.15,12
0.807,0.437,-0.312,-13.55,-1.282,4.272,12
0.813,0.431,-0.315,-13.489,-0.793,4.578,12
0.816,0.428,-0.321,-13.306,-0.671,4.578,12
0.815,0.421,-0.328,-13.123,-1.282,4.395,12
0.812,0.417,-0.332,-12.268,-1.77,4.456,12
0.807,0.416,-0.332,-11.78,-2.075,4.578,12
0.805,0.41,-0.333,-11.108,-2.319,4.395,12
0.8,0.402,-0.337,-10.681,-2.563,4.395,12
0.799,0.398,-0.342,-10.01,-2.747,4.517,12
0.803,0.397,-0.344,-9.888,-2.441,4.883,12
0.807,0.396,-0.345,-9.888,-2.136,4.7,12
0.805,0.394,-0.347,-9.216,-1.953,4.517,12
0.802,0.389,-0.346,-8.118,-2.563,4.395,12
0.8,0.388,-0.339,-6.775,-3.113,4.883,12
0.809,0.391,-0.333,-5.737,-2.747,5.371,12
0.822,0.392,-0.335,-5.066,-1.709,5.493,12
0.826,0.389,-0.343,-3.479,-1.038,4.761,12
0.825,0.385,-0.349,-2.502,-1.221,4.272,12
0.825,0.389,-0.344,-1.77,-1.526,4.272,12
0.833,0.392,-0.334,-1.221,-0.977,4.089,12
0.836,0.395,-0.334,-0.61,-0.183,3.235,12
0.834,0.395,-0.336,0.732,0.183,2.869,12
0.831,0.401,-0.337,1.587,0.122,2.625,12
0.831,0.41,-0.331,2.258,0.549,2.686,12
0.838,0.416,-0.33,2.502,1.587,2.441,12
0.833,0.422,-0.333,3.357,2.319,2.258,12
0.833,0.427,-0.34,3.845,2.319,2.075,12
3.62,1.475,2.292,121.521,46.875,-38.208,13
1.632,2.582,-2.802,160.645,-20.264,-29.48,13
0.375,0.917,-2.146,67.383,-59.448,-47.302,13
0.36,-0.308,-1.229,-7.019,-40.222,-52.795,13
0.651,-0.569,-0.474,-65.125,1.404,-26.428,13
0.71,-0.501,0.253,-90.637,3.662,-8.057,13
1.043,-0.304,0.291,-80.444,9.46,11.108,13
1.188,0.01,0.122,-57.678,24.17,17.273,13
1.073,0.188,0.04,-34.546,19.226,9.277,13
0.917,0.307,0.038,-18.372,2.563,1.892,13
0.847,0.421,0.099,-15.015,-1.709,3.723,13
0.858,0.502,0.088,-15.686,4.883,5.92,13
0.887,0.502,0.073,-12.756,10.62,4.333,13
0.876,0.44,0.053,-4.15,9.521,0.061,13
0.861,0.375,-0.016,6.348,5.371,-2.197,13
0.857,0.344,-0.124,14.771,3.784,-2.625,13
0.857,0.384,-0.208,17.212,3.662,-3.296,13
0.849,0.423,-0.296,16.846,3.906,-2.625,13
0.849,0.45,-0.366,17.944,3.235,-2.808,13
0.839,0.448,-0.373,18.799,0.305,-2.686,13
0.826,0.427,-0.338,18.555,-1.831,-2.502,13
0.816,0.42,-0.298,19.775,-4.211,-0.977,13
0.818,0.427,-0.28,18.494,-5.188,0.61,13
0.822,0.426,-0.248,13.428,-4.639,-0.549,13
0.838,0.422,-0.233,9.216,-4.028,-2.014,13
0.85,0.415,-0.211,6.531,-4.395,-2.93,13
0.858,0.41,-0.199,4.7,-4.639,-4.333,13
0.863,0.415,-0.198,3.296,-4.639,-5.432,13
0.857,0.411,-0.202,2.014,-4.7,-6.226,13
0.865,0.396,-0.202,0.916,-4.517,-6.165,13
0.866,0.377,-0.201,-0.122,-4.395,-5.188,13
0.879,0.354,-0.196,-1.709,-3.662,-3.479,13
0.902,0.335,-0.189,-4.211,-2.686,-2.319,13
0.917,0.325,-0.18,-7.141,-1.831,-1.648,13
0.933,0.325,-0.164,-10.132,-1.038,-0.61,13
0.937,0.344,-0.147,-12.451,-0.244,0.061,13
0.952,0.348,-0.135,-13.367,0.183,0.183,13
0.973,0.361,-0.126,-13.855,0.732,0.061,13
0.977,0.356,-0.114,-13.916,0.732,-0.183,13
0.974,0.354,-0.12,-13.916,0.916,-0.366,13
0.959,0.351,-0.129,-14.099,1.099,-0.366,13
0.951,0.349,-0.133,-14.404,1.465,0,13
0.947,0.351,-0.14,-14.954,2.136,0.549,13
0.941,0.358,-0.14,-15.686,2.563,1.099,13
0.935,0.367,-0.148,-15.93,3.113,1.526,13
0.927,0.371,-0.162,-16.296,3.296,2.136,13
0.922,0.369,-0.167,-16.479,3.662,2.197,13
0.919,0.371,-0.165,-16.663,3.54,2.258,13
0.911,0.375,-0.162,-16.907,3.479,2.319,13
0.903,0.384,-0.167,-16.785,3.296,2.258,13
0.887,0.378,-0.171,-16.968,3.052,2.441,13
0.885,0.373,-0.174,-17.395,2.869,2.38,13
0.885,0.364,-0.176,-17.761,2.93,2.38,13
0.883,0.356,-0.173,-18.433,2.808,2.319,13
0.879,0.354,-0.178,-19.043,2.93,2.441,13
0.877,0.356,-0.183,-19.775,2.991,2.441,13
0.878,0.354,-0.18,-20.264,2.808,2.197,13
0.877,0.355,-0.174,-20.508,2.991,2.136,13
0.884,0.355,-0.174,-20.386,2.869,2.319,13
0.89,0.354,-0.169,-20.569,2.747,2.136,13
0.887,0.349,-0.166,-20.691,2.625,2.014,13
0.883,0.35,-0.162,-21.118,2.808,1.587,13
0.884,0.35,-0.157,-21.301,3.052,1.77,13
0.884,0.35,-0.155,-21.301,2.93,1.77,13
0.888,0.348,-0.153,-21.24,2.93,1.709,13
0.895,0.35,-0.152,-21.057,2.93,1.526,13
0.903,0.352,-0.146,-21.118,2.991,1.465,13
0.907,0.352,-0.148,-21.118,3.052,1.343,13
0.914,0.353,-0.146,-21.301,2.991,1.404,13
0.915,0.349,-0.143,-21.301,2.808,1.343,13
0.907,0.353,-0.137,-21.118,2.808,1.343,13
0.918,0.359,-0.15,-21.179,3.052,1.404,13
0.911,0.355,-0.152,-21.179,3.113,1.526,13
0.912,0.351,-0.156,-21.362,3.174,1.465,13
0.906,0.351,-0.166,-21.362,3.174,1.465,13
0.9,0.356,-0.165,-21.423,3.296,1.587,13
0.899,0.361,-0.176,-21.301,3.357,1.77,13
0.896,0.364,-0.173,-21.301,3.418,2.014,13
0.888,0.364,-0.167,-21.057,3.235,1.953,13
0.888,0.363,-0.17,-21.118,3.418,1.892,13
0.888,0.368,-0.172,-20.813,3.357,1.953,13
0.895,0.364,-0.177,-20.935,3.479,1.892,13
0.893,0.359,-0.175,-20.569,3.479,2.014,13
0.886,0.358,-0.176,-20.935,3.296,1.709,13
0.885,0.354,-0.172,-20.813,3.235,1.587,13
0.88,0.354,-0.174,-20.752,3.235,1.526,13
0.881,0.353,-0.177,-20.691,3.113,1.465,13
0.889,0.354,-0.174,-20.691,3.113,1.282,13
0.886,0.348,-0.169,-20.508,2.93,1.404,13
0.887,0.348,-0.169,-20.691,2.869,1.465,13
0.89,0.352,-0.17,-20.691,3.052,1.587,13
0.89,0.36,-0.174,-20.508,3.113,1.709,13
0.89,0.357,-0.165,-20.508,3.052,1.404,13
0.885,0.363,-0.162,-20.508,2.93,1.343,13
0.893,0.36,-0.162,-19.958,2.563,1.282,13
0.907,0.358,-0.161,-19.592,2.563,1.16,13
0.894,0.355,-0.151,-19.714,2.563,1.038,13
0.9,0.351,-0.153,-19.836,2.686,1.038,13
0.909,0.346,-0.153,-19.836,2.686,1.465,13
0.911,0.346,-0.157,-19.775,2.625,1.831,13
0.914,0.351,-0.157,-19.958,2.93,1.892,13
0.915,0.351,-0.16,-20.325,2.93,1.831,13
0.912,0.357,-0.161,-20.325,2.93,1.77,13
0.915,0.359,-0.158,-20.264,2.869,2.014,13
0.907,0.369,-0.161,-20.142,2.747,2.38,13
0.906,0.372,-0.161,-19.531,2.625,2.625,13
0.906,0.37,-0.163,-19.714,2.686,2.319,13
0.904,0.367,-0.165,-20.325,2.625,2.075,13
0.898,0.362,-0.165,-20.569,2.808,1.953,13
0.899,0.358,-0.167,-20.874,2.808,1.892,13
0.898,0.36,-0.166,-21.24,2.869,1.953,13
0.896,0.358,-0.163,-21.484,2.747,2.38,13
0.896,0.359,-0.168,-21.851,2.808,2.319,13
0.895,0.37,-0.165,-22.034,2.869,2.38,13
0.896,0.365,-0.171,-22.217,2.747,2.319,13
0.892,0.362,-0.17,-22.217,2.869,2.136,13
0.894,0.356,-0.17,-22.339,2.869,2.014,13
0.892,0.356,-0.166,-22.278,2.808,2.014,13
0.898,0.359,-0.169,-22.583,2.747,2.075,13
1.605,0.849,0.711,252.319,108.765,-91.675,14
1.409,0.981,-1.362,341.187,11.475,-55.298,14
0.562,1.068,-1.248,194.885,-79.407,-7.202,14
0.551,0.75,-0.87,67.81,-29.297,4.883,14
0.853,0.289,-0.667,20.752,18.127,-3.54,14
0.878,-0.058,-0.422,7.385,-4.7,-10.437,14
0.852,-0.018,-0.234,-17.883,-18.311,-1.526,14
0.814,0.169,-0.165,-40.466,-8.118,8.362,14
0.749,0.291,-0.218,-43.823,-4.211,9.338,14
0.764,0.381,-0.235,-39.917,-7.996,6.348,14
0.797,0.485,-0.182,-38.879,-8.484,3.906,14
0.804,0.545,-0.121,-37.659,-6.287,0.305,14
0.814,0.555,-0.061,-33.691,-4.578,-2.808,14
0.815,0.547,-0.039,-25.696,-5.188,-6.226,14
0.819,0.536,-0.059,-15.259,-6.226,-9.583,14
0.827,0.523,-0.109,-5.92,-6.104,-10.864,14
0.838,0.51,-0.161,0,-5.249,-8.545,14
0.855,0.499,-0.21,1.953,-3.296,-3.845,14
0.871,0.486,-0.246,1.343,-1.16,0.916,14
0.883,0.475,-0.271,-1.526,0.977,5.615,14
0.898,0.5,-0.294,-6.287,3.174,9.521,14
0.896,0.495,-0.327,-12.329,5.432,13.245,14
0.89,0.485,-0.353,-19.043,7.385,14.709,14
0.91,0.507,-0.353,-28.076,9.033,14.587,14
0.917,0.512,-0.338,-34.119,9.216,14.709,14
0.907,0.51,-0.34,-38.208,7.568,13.428,14
0.91,0.513,-0.321,-42.419,5.737,11.292,14
0.902,0.531,-0.281,-46.875,3.479,9.277,14
0.884,0.542,-0.253,-48.096,0.122,8.789,14
0.847,0.558,-0.23,-47.913,-2.991,8.423,14
0.83,0.588,-0.188,-46.204,-4.15,9.094,14
0.82,0.606,-0.178,-40.71,-3.784,9.216,14
0.806,0.631,-0.147,-33.02,-0.793,7.69,14
0.833,0.593,-0.184,-23.254,6.958,4.089,14
0.859,0.55,-0.241,-16.113,10.437,1.587,14
0.849,0.528,-0.275,-13.062,7.69,0.732,14
0.839,0.501,-0.302,-12.512,5.554,-1.099,14
0.828,0.473,-0.319,-13.428,4.944,-2.38,14
0.812,0.456,-0.323,-15.198,3.906,-2.869,14
0.794,0.437,-0.315,-17.334,3.357,-3.479,14
0.781,0.427,-0.296,-19.47,3.54,-3.296,14
0.772,0.423,-0.272,-20.508,3.357,-2.502,14
0.771,0.416,-0.258,-19.226,3.113,-1.648,14
0.778,0.415,-0.25,-17.578,3.418,-0.61,14
0.779,0.409,-0.25,-15.32,3.601,0.549,14
0.779,0.397,-0.258,-12.268,3.235,1.587,14
0.777,0.387,-0.272,-9.766,2.441,2.502,14
0.776,0.382,-0.286,-8.118,1.953,3.54,14
0.773,0.385,-0.291,-7.202,1.77,4.15,14
0.777,0.381,-0.296,-6.287,2.075,4.395,14
0.779,0.376,-0.301,-4.944,1.77,5.31,14
0.782,0.378,-0.308,-4.028,1.282,6.409,14
0.788,0.385,-0.306,-3.784,1.221,7.324,14
0.797,0.386,-0.302,-3.357,1.648,7.874,14
0.804,0.389,-0.306,-2.563,2.136,8.057,14
0.807,0.391,-0.313,-1.77,2.075,7.935,14
0.804,0.391,-0.321,-0.549,1.343,8.057,14
0.81,0.4,-0.322,0.061,1.221,7.935,14
0.808,0.408,-0.319,0.61,1.465,7.019,14
0.806,0.407,-0.327,1.831,1.404,5.92,14
0.799,0.404,-0.339,3.601,0,5.371,14
0.795,0.408,-0.348,4.395,-0.854,5.371,14
0.801,0.421,-0.35,4.089,-0.916,5.371,14
0.801,0.435,-0.343,3.113,-0.488,4.944,14
0.804,0.439,-0.343,3.235,-0.122,4.395,14
0.804,0.44,-0.35,3.784,-0.732,4.089,14
0.806,0.439,-0.355,4.089,-1.587,4.089,14
0.815,0.443,-0.355,3.479,-2.014,4.089,14
0.822,0.458,-0.341,1.831,-1.709,3.967,14
0.827,0.471,-0.32,0.366,-0.916,3.357,14
0.828,0.474,-0.313,0.671,-0.488,2.38,14
0.832,0.47,-0.317,1.526,-0.671,1.953,14
0.837,0.47,-0.32,1.465,-0.732,2.258,14
0.846,0.477,-0.316,0.488,-0.549,2.747,14
0.847,0.492,-0.301,-0.916,0.305,2.93,14
0.843,0.496,-0.287,-1.16,1.16,2.502,14
0.844,0.495,-0.289,-0.183,1.404,2.38,14
0.84,0.492,-0.303,0.916,1.221,2.563,14
0.84,0.491,-0.315,1.282,1.16,2.197,14
0.835,0.498,-0.317,0.61,1.282,1.709,14
0.826,0.5,-0.313,-0.122,1.465,0.61,14
0.813,0.492,-0.316,0.366,1.099,-0.549,14
0.799,0.482,-0.327,1.16,0,-0.977,14
0.788,0.47,-0.334,1.099,-0.793,-0.732,14
0.783,0.469,-0.333,0,-0.916,0.122,14
0.782,0.473,-0.323,-1.221,-0.488,0.916,14
0.783,0.475,-0.318,-1.953,0.122,1.404,14
0.786,0.47,-0.322,-1.77,-0.183,1.709,14
0.789,0.465,-0.325,-1.404,-0.916,2.197,14
0.793,0.463,-0.316,-1.404,-1.16,2.747,14
0.797,0.46,-0.308,-1.526,-0.916,2.93,14
0.796,0.454,-0.306,-1.282,-0.977,3.235,14
0.798,0.449,-0.311,-0.793,-1.099,3.723,14
0.801,0.449,-0.316,-0.671,-1.526,4.333,14
0.801,0.455,-0.314,-1.038,-1.892,4.578,14
0.803,0.457,-0.312,-1.587,-1.343,4.456,14
0.802,0.459,-0.314,-1.648,-1.221,4.089,14
0.798,0.459,-0.314,-1.709,-1.892,4.028,14
0.798,0.463,-0.314,-1.587,-2.808,4.15,14
0.797,0.47,-0.308,-1.709,-2.991,3.967,14
0.793,0.47,-0.301,-1.77,-2.502,3.845,14
0.795,0.47,-0.305,-1.282,-2.197,3.601,14
0.795,0.466,-0.309,-0.549,-2.808,4.028,14
0.797,0.476,-0.3,-0.732,-2.93,4.639,14
0.804,0.475,-0.296,-0.61,-2.441,4.089,14
0.807,0.47,-0.304,-0.061,-2.075,3.784,14
0.808,0.469,-0.312,0.305,-2.38,3.845,14
0.807,0.467,-0.316,0.061,-2.808,3.54,14
0.806,0.464,-0.319,-0.183,-3.174,3.174,14
0.804,0.461,-0.316,-1.16,-3.052,3.174,14
0.804,0.459,-0.311,-2.014,-2.502,3.113,14
0.804,0.458,-0.296,-2.441,-2.197,3.296,14
0.813,0.461,-0.281,-2.38,-1.77,3.723,14
0.823,0.459,-0.274,-1.648,-1.099,3.967,14
0.83,0.457,-0.278,-0.427,-0.854,3.967,14
0.833,0.453,-0.287,0.977,-0.671,3.784,14
0.837,0.45,-0.296,1.526,-0.305,3.54,14
0.835,0.453,-0.302,1.587,-0.061,3.052,14
0.828,0.453,-0.303,1.648,0.061,2.258,14
2.293,0.507,1.826,258.179,261.047,-122.803,15
2.491,1.374,-1.874,417.175,104.004,-54.565,15
1.067,1.518,-1.899,240.295,-173.767,26.245,15
-0.012,0.412,-1.603,66.528,-102.234,30.518,15
0.306,-0.053,-1.144,-16.907,14.954,11.292,15
0.716,-0.108,-0.389,-34.79,16.479,-5.249,15
0.938,-0.137,-0.29,-36.621,-9.888,-2.075,15
0.964,0.125,-0.204,-57.19,0,0.305,15
0.788,0.407,-0.133,-73.181,14.954,-1.526,15
0.774,0.526,-0.165,-59.937,10.193,-6.592,15
0.861,0.551,-0.122,-41.016,0.366,-11.047,15
0.881,0.553,-0.036,-32.593,-6.47,-13.489,15
0.81,0.542,0.016,-31.128,-9.338,-13.733,15
0.721,0.532,0.017,-26.794,-10.559,-13.367,15
0.692,0.5,-0.046,-15.686,-9.033,-12.085,15
0.734,0.478,-0.11,-4.456,-4.7,-9.399,15
0.788,0.466,-0.186,2.258,-0.854,-5.371,15
0.823,0.472,-0.257,5.737,0.549,-1.526,15
0.843,0.474,-0.307,6.348,0.366,1.404,15
0.866,0.453,-0.337,4.395,0.549,3.357,15
0.871,0.432,-0.329,0.061,0.244,4.211,15
0.862,0.421,-0.31,-5.432,-0.793,4.456,15
0.84,0.425,-0.285,-10.864,-2.563,4.395,15
0.819,0.446,-0.273,-14.404,-3.113,3.54,15
0.816,0.463,-0.272,-16.846,-2.319,2.808,15
0.815,0.501,-0.255,-18.921,-2.686,2.686,15
0.816,0.519,-0.254,-19.226,-2.441,3.601,15
0.816,0.542,-0.255,-18.494,-2.136,4.395,15
0.812,0.545,-0.261,-17.09,-2.625,4.517,15
0.819,0.527,-0.265,-16.296,-2.991,4.639,15
0.823,0.506,-0.266,-17.334,-2.563,4.822,15
0.826,0.488,-0.265,-20.325,-1.831,6.104,15
0.827,0.477,-0.266,-23.926,-2.686,8.606,15
0.842,0.484,-0.297,-28.992,-3.479,11.108,15
0.839,0.485,-0.308,-35.339,-2.93,12.817,15
0.833,0.486,-0.326,-42.358,-2.563,14.099,15
0.829,0.499,-0.323,-49.377,-3.113,15.381,15
0.839,0.525,-0.289,-55.969,-3.418,16.052,15
0.895,0.561,-0.323,-60.12,-4.456,15.076,15
0.858,0.594,-0.269,-62.378,-10.254,12.634,15
0.824,0.629,-0.194,-60.242,-11.108,7.751,15
0.853,0.612,-0.16,-52.49,-5.615,1.038,15
0.866,0.574,-0.161,-42.419,-3.662,-1.953,15
0.85,0.543,-0.179,-34.546,-5.615,-2.38,15
0.837,0.543,-0.2,-30.029,-5.615,-2.869,15
0.833,0.519,-0.237,-26.489,-3.845,-3.723,15
0.822,0.501,-0.262,-25.33,-3.357,-4.333,15
0.807,0.484,-0.276,-26.306,-3.967,-3.845,15
0.788,0.471,-0.285,-28.442,-4.15,-2.869,15
0.777,0.472,-0.292,-30.884,-3.54,-1.831,15
0.777,0.477,-0.298,-34.058,-2.014,0.977,15
0.77,0.461,-0.319,-36.194,-0.732,4.333,15
0.768,0.44,-0.336,-39.673,0.732,6.531,15
0.751,0.441,-0.325,-44.678,0.854,9.216,15
0.741,0.448,-0.293,-48.462,1.709,13.306,15
0.743,0.458,-0.265,-49.622,3.296,17.029,15
0.748,0.473,-0.242,-47.974,3.662,20.63,15
0.763,0.486,-0.234,-43.091,3.845,23.682,15
0.795,0.482,-0.267,-37.292,3.662,24.719,15
0.816,0.469,-0.304,-31.982,2.563,23.865,15
0.82,0.458,-0.329,-28.015,-0.305,22.034,15
0.815,0.445,-0.349,-24.841,-3.54,20.447,15
0.806,0.425,-0.362,-23.56,-6.042,19.043,15
0.794,0.425,-0.371,-23.743,-7.263,19.043,15
0.8,0.437,-0.348,-24.841,-6.592,19.958,15
0.803,0.444,-0.323,-23.865,-6.348,20.996,15
0.814,0.44,-0.313,-19.958,-7.385,21.851,15
0.824,0.43,-0.312,-15.198,-7.69,22.461,15
0.833,0.427,-0.31,-11.23,-6.653,22.766,15
0.829,0.422,-0.321,-7.629,-6.592,22.888,15
0.84,0.4,-0.343,-3.906,-6.47,23.926,15
0.857,0.399,-0.366,-3.357,-4.639,24.719,15
0.867,0.4,-0.38,-4.822,-2.38,25.452,15
0.87,0.408,-0.38,-6.592,-0.977,25.269,15
0.87,0.415,-0.374,-7.507,-0.183,24.048,15
0.865,0.42,-0.363,-7.263,-0.977,22.095,15
0.851,0.42,-0.365,-5.31,-2.014,20.325,15
0.835,0.403,-0.378,-2.38,-2.93,18.616,15
0.822,0.385,-0.39,-1.038,-3.662,17.761,15
0.81,0.39,-0.396,-1.099,-4.15,18.066,15
0.796,0.381,-0.391,-0.793,-4.639,18.86,15
0.79,0.379,-0.378,-1.648,-3.967,20.325,15
0.795,0.406,-0.376,-3.479,-2.014,21.729,15
0.801,0.401,-0.373,-4.089,-1.465,22.278,15
0.81,0.387,-0.381,-4.272,-1.709,22.339,15
0.801,0.446,-0.383,-5.31,-2.808,21.118,15
0.793,0.438,-0.374,-4.822,-2.625,20.081,15
0.808,0.437,-0.364,-3.662,-1.953,17.761,15
0.789,0.469,-0.355,-2.991,-3.174,15.381,15
0.759,0.468,-0.347,-0.732,-5.005,13.733,15
0.751,0.454,-0.36,2.686,-4.272,12.207,15
0.749,0.434,-0.37,4.7,-3.845,11.414,15
0.744,0.47,-0.361,4.7,-4.028,11.23,15
0.732,0.468,-0.357,5.188,-3.723,11.536,15
0.736,0.46,-0.367,6.836,-1.77,10.925,15
0.744,0.46,-0.379,6.531,-0.122,10.864,15
0.748,0.47,-0.385,5.31,0.366,10.925,15
0.748,0.474,-0.383,4.395,0.549,10.254,15
0.753,0.474,-0.383,3.906,0.793,9.46,15
0.756,0.478,-0.382,2.93,1.038,8.423,15
0.756,0.481,-0.373,2.136,1.099,7.507,15
0.754,0.488,-0.359,1.892,1.343,6.958,15
0.754,0.491,-0.348,2.014,1.404,6.226,15
0.761,0.489,-0.352,2.441,1.831,5.249,15
0.751,0.489,-0.346,2.502,1.587,4.639,15
0.755,0.49,-0.328,2.502,1.77,4.272,15
0.75,0.506,-0.342,3.418,2.258,3.906,15
0.754,0.491,-0.351,6.226,1.221,3.235,15
0.754,0.491,-0.358,7.446,0.549,2.991,15
0.764,0.5,-0.366,6.958,1.038,2.93,15
0.767,0.501,-0.37,5.981,1.465,1.892,15
0.764,0.5,-0.371,5.493,0.977,0.977,15
0.762,0.507,-0.37,4.944,0.244,0.366,15
0.761,0.514,-0.368,4.272,0.122,-0.122,15
0.759,0.51,-0.366,4.15,0.061,-0.244,15
0.755,0.514,-0.362,3.601,0.061,-0.305,15
0.756,0.516,-0.36,2.991,0.549,-0.671,15
0.757,0.513,-0.35,3.296,0.732,-0.916,15
0.759,0.516,-0.341,3.723,0.854,-1.282,15
2.308,2.102,-0.515,156.86,132.935,-80.566,16
1.398,1.426,-1.361,222.778,15.259,-34.668,16
0.401,1.023,-1.135,132.69,-67.322,-0.366,16
0.563,0.745,-0.786,52.063,-9.644,-12.756,16
0.807,0.354,-0.452,31.067,-4.639,-12.085,16
0.851,0.096,-0.384,13.733,-21.179,-15.869,16
0.759,0.12,-0.308,-24.231,-15.686,-11.719,16
0.659,0.166,-0.264,-55.42,-7.141,-3.479,16
0.646,0.234,-0.28,-68.97,-5.493,-1.648,16
0.716,0.282,-0.215,-73.547,-5.981,-2.808,16
0.734,0.327,-0.107,-75.378,-6.714,-5.554,16
0.72,0.387,-0.014,-72.144,-5.676,-7.507,16
0.731,0.45,-0.003,-61.462,-3.296,-8.179,16
0.767,0.489,-0.039,-44.556,-3.662,-8.85,16
0.789,0.495,-0.081,-26.062,-6.348,-10.925,16
0.821,0.49,-0.151,-8.24,-9.277,-13.672,16
0.854,0.487,-0.223,3.784,-10.803,-15.869,16
0.879,0.49,-0.266,9.521,-9.766,-16.418,16
0.877,0.473,-0.274,10.498,-6.714,-14.465,16
0.865,0.459,-0.3,9.033,-4.15,-8.972,16
0.861,0.456,-0.327,5.371,-2.319,-2.563,16
0.862,0.447,-0.334,0.427,0.183,2.319,16
0.859,0.449,-0.311,-4.883,3.235,5.676,16
0.856,0.479,-0.297,-10.559,5.798,7.568,16
0.855,0.485,-0.291,-13.306,7.996,10.193,16
0.86,0.491,-0.276,-15.381,9.155,11.597,16
0.868,0.52,-0.25,-17.334,9.094,11.963,16
0.864,0.539,-0.252,-17.212,7.69,11.78,16
0.847,0.534,-0.281,-14.709,4.089,10.742,16
0.839,0.564,-0.28,-12.146,0.671,7.812,16
0.832,0.56,-0.295,-8.606,-0.183,5.31,16
0.856,0.553,-0.319,-5.554,-0.854,2.38,16
0.82,0.546,-0.298,-4.883,-2.197,-0.671,16
0.817,0.536,-0.286,-4.761,-0.732,-1.892,16
0.817,0.538,-0.283,-5.066,0.854,-1.77,16
0.818,0.525,-0.277,-5.798,1.953,-0.244,16
0.825,0.527,-0.28,-7.263,3.723,0.61,16
0.828,0.522,-0.283,-9.033,4.944,1.16,16
0.826,0.524,-0.282,-10.254,4.822,1.587,16
0.822,0.527,-0.271,-10.925,4.456,1.648,16
0.819,0.523,-0.262,-10.986,4.089,1.038,16
0.812,0.512,-0.262,-10.559,3.357,0.732,16
0.802,0.5,-0.271,-10.132,2.563,0.793,16
0.794,0.493,-0.271,-10.559,1.953,1.16,16
0.795,0.492,-0.252,-11.597,1.709,1.465,16
0.8,0.491,-0.242,-12.207,2.319,1.221,16
0.795,0.48,-0.245,-11.78,1.77,1.282,16
0.789,0.468,-0.253,-10.254,0.549,2.014,16
0.788,0.465,-0.26,-9.46,0.122,3.113,16
0.786,0.472,-0.252,-9.583,0.244,3.845,16
0.785,0.47,-0.25,-9.216,0.793,3.845,16
0.776,0.462,-0.262,-8.179,0.793,4.211,16
0.77,0.459,-0.282,-7.019,0.122,5.31,16
0.773,0.452,-0.298,-7.019,-0.61,7.019,16
0.778,0.457,-0.304,-8.606,-0.61,8.362,16
0.782,0.463,-0.291,-10.559,-0.061,9.033,16
0.791,0.462,-0.295,-10.62,0.366,8.972,16
0.793,0.454,-0.308,-9.583,-0.366,9.094,16
0.793,0.441,-0.325,-8.24,-2.38,9.827,16
0.792,0.439,-0.337,-7.568,-3.906,10.071,16
0.795,0.445,-0.334,-8.789,-4.15,9.888,16
0.8,0.444,-0.33,-9.521,-3.723,9.338,16
0.803,0.439,-0.331,-9.644,-3.845,9.155,16
0.809,0.431,-0.337,-9.155,-4.944,9.399,16
0.807,0.427,-0.337,-9.216,-5.737,9.766,16
0.811,0.422,-0.331,-9.033,-5.432,9.705,16
0.818,0.41,-0.336,-8.362,-4.333,9.46,16
0.823,0.403,-0.348,-7.69,-3.906,9.583,16
0.82,0.396,-0.361,-7.385,-3.967,9.583,16
0.815,0.392,-0.368,-7.751,-4.089,9.521,16
0.807,0.404,-0.357,-8.728,-3.906,9.277,16
0.819,0.411,-0.348,-10.01,-2.014,8.057,16
0.834,0.409,-0.356,-10.376,0.549,5.615,16
0.826,0.409,-0.364,-10.62,0.793,3.296,16
0.814,0.4,-0.37,-9.644,-0.244,1.404,16
0.805,0.395,-0.375,-8.972,-1.404,0.183,16
0.79,0.404,-0.359,-9.155,-1.709,-0.488,16
0.785,0.399,-0.344,-8.606,-0.977,-1.526,16
0.779,0.388,-0.345,-6.836,-0.427,-1.77,16
0.774,0.386,-0.357,-5.005,-0.549,-1.221,16
0.773,0.386,-0.371,-3.906,-0.793,-0.549,16
0.776,0.387,-0.378,-3.845,-1.099,0.061,16
0.778,0.404,-0.362,-4.7,-0.854,0.61,16
0.783,0.41,-0.344,-5.005,-0.244,0.793,16
0.787,0.412,-0.336,-3.845,-0.61,0.854,16
0.793,0.415,-0.337,-2.747,-1.465,1.16,16
0.802,0.419,-0.334,-2.319,-1.587,1.343,16
0.805,0.434,-0.321,-2.319,-1.16,1.099,16
0.809,0.446,-0.305,-2.136,-0.366,0.61,16
0.813,0.449,-0.302,-0.793,-0.122,0.427,16
0.819,0.455,-0.306,1.038,-0.549,0.366,16
0.822,0.46,-0.316,1.831,-0.732,0.183,16
0.816,0.469,-0.318,1.953,-0.671,-0.122,16
0.805,0.472,-0.316,1.892,-0.549,-0.305,16
