aX,aY,aZ,gX,gY,gZ,Sample No
0.677,0.625,-0.349,1.221,0.061,-1.038,1
0.677,0.625,-0.345,1.282,-0.122,-0.977,1
0.678,0.628,-0.345,1.404,-0.244,-1.038,1
0.679,0.627,-0.342,1.709,-0.122,-1.038,1
0.682,0.623,-0.339,1.892,-0.061,-0.793,1
0.685,0.622,-0.336,2.075,0,-0.366,1
0.687,0.62,-0.337,2.075,0.366,0.061,1
1.628,0.656,-1.255,396.79,41.992,-110.474,2
0.992,1.238,-1.367,277.771,-51.758,-81.787,2
0.492,0.9,-1.128,130.371,-79.041,-37.292,2
0.615,0.445,-0.84,61.34,-18.86,-29.48,2
0.838,-0.165,-0.659,54.016,-15.381,-35.278,2
0.779,-0.283,-0.365,22.827,-27.405,-15.198,2
0.822,-0.121,-0.208,-20.691,-11.047,8.24,2
0.798,0.086,-0.214,-47.424,5.371,22.156,2
0.776,0.245,-0.251,-52.307,8.911,26.306,2
0.822,0.405,-0.226,-49.5,12.207,23.499,2
0.847,0.513,-0.145,-44.739,14.832,18.921,2
0.856,0.552,-0.095,-36.316,15.381,13.672,2
0.848,0.566,-0.087,-26.306,13.306,6.775,2
0.85,0.554,-0.109,-15.686,9.094,0.244,2
0.816,0.53,-0.169,-5.737,4.333,-3.357,2
0.779,0.496,-0.223,1.099,0.366,-4.272,2
0.763,0.461,-0.262,6.104,-0.854,-2.625,2
0.77,0.434,-0.293,9.46,-0.61,-0.732,2
0.779,0.412,-0.311,10.986,-0.183,1.953,2
0.78,0.406,-0.33,10.803,0.732,4.272,2
0.779,0.417,-0.348,9.521,1.831,6.287,2
0.781,0.43,-0.355,7.446,3.113,7.385,2
0.787,0.448,-0.359,6.165,3.357,7.629,2
0.791,0.46,-0.36,5.127,2.869,7.08,2
0.797,0.469,-0.355,4.456,2.075,5.615,2
0.803,0.471,-0.344,4.272,0.488,3.662,2
0.809,0.473,-0.334,4.639,-1.404,1.038,2
0.808,0.469,-0.321,4.7,-3.174,-1.282,2
0.799,0.466,-0.307,4.578,-4.822,-2.441,2
0.79,0.462,-0.299,4.578,-5.676,-2.808,2
0.78,0.451,-0.295,4.944,-5.371,-2.625,2
0.79,0.456,-0.292,4.639,-4.272,-2.38,2
0.794,0.455,-0.294,3.845,-2.991,-1.038,2
0.811,0.451,-0.299,3.357,-1.953,0,2
0.824,0.446,-0.302,3.052,-1.404,0.427,2
0.833,0.446,-0.299,2.197,-1.16,0.671,2
0.843,0.446,-0.299,1.404,-0.977,0.427,2
0.845,0.451,-0.3,0.61,-0.732,-0.122,2
0.842,0.455,-0.305,-0.183,-0.61,-0.916,2
0.839,0.457,-0.306,-0.732,-0.732,-1.77,2
0.836,0.455,-0.305,-0.977,-0.427,-2.197,2
0.828,0.455,-0.302,-1.404,-0.183,-2.197,2
0.826,0.457,-0.297,-1.587,0,-2.075,2
0.827,0.461,-0.294,-1.465,0.061,-1.953,2
0.825,0.462,-0.29,-1.404,0,-1.587,2
0.821,0.466,-0.29,-0.916,-0.183,-1.099,2
0.817,0.468,-0.287,-0.183,-0.122,-0.732,2
0.818,0.467,-0.29,0.977,-0.061,0.061,2
0.822,0.467,-0.287,1.648,0.061,0.61,2
0.818,0.466,-0.29,2.197,0.061,0.732,2
0.814,0.466,-0.296,2.319,0,1.16,2
0.813,0.468,-0.299,2.38,0.488,1.404,2
0.812,0.467,-0.301,2.38,0.549,1.526,2
0.817,0.466,-0.307,2.136,0.732,1.465,2
0.815,0.464,-0.312,1.648,0.793,1.587,2
0.815,0.461,-0.319,0.671,0.854,1.953,2
0.815,0.458,-0.314,-0.488,1.221,1.953,2
0.815,0.461,-0.315,-1.221,1.221,1.77,2
0.814,0.468,-0.317,-1.526,0.977,1.343,2
0.813,0.47,-0.319,-1.709,0.732,1.221,2
0.81,0.471,-0.313,-1.526,0.549,1.038,2
0.81,0.47,-0.314,-1.404,0.366,0.793,2
0.813,0.47,-0.314,-1.16,0.122,0.488,2
0.814,0.468,-0.313,-1.099,0.244,0.488,2
0.811,0.464,-0.308,-0.854,0.122,0.549,2
0.812,0.459,-0.303,-0.671,0,0.488,2
0.823,0.456,-0.306,-0.427,0.244,0.244,2
0.824,0.456,-0.305,-0.793,0.305,0.488,2
0.82,0.455,-0.297,-0.61,0,0.732,2
0.82,0.455,-0.293,0.061,0,0.732,2
0.816,0.462,-0.293,0,-0.061,1.221,2
0.812,0.457,-0.297,-0.061,0.183,1.404,2
0.806,0.454,-0.298,-0.183,0.671,1.465,2
0.804,0.456,-0.298,-0.244,1.038,2.197,2
