aX,aY,aZ,gX,gY,gZ,sample
0.518,2.238,-2.955,-109.436,-222.351,80.261,1
0.081,1.688,-1.256,95.886,-177.49,119.263,1
-0.015,1.41,-0.634,143.311,-82.703,35.217,1
0.527,1.252,-0.552,94.543,-26.367,-1.77,1
0.441,1.116,-0.312,30.396,-42.114,-7.751,1
0.235,1.057,-0.234,-10.193,-44.434,-11.597,1
0.228,0.947,-0.3,-30.701,1.282,-18.555,1
0.309,0.878,-0.391,-33.386,55.359,-19.897,1
0.315,0.927,-0.569,-17.273,86.06,-11.292,1
0.372,0.94,-0.57,17.273,109.863,6.165,1
0.373,0.85,-0.613,61.34,121.887,23.926,1
0.398,0.74,-0.538,93.323,117.188,42.969,1
0.376,0.643,-0.503,97.229,95.459,56.946,1
0.349,0.835,-0.235,78.796,56.03,61.584,1
0.254,0.834,-0.182,75.806,34.18,54.688,1
0.24,0.872,-0.093,68.359,25.879,41.016,1
0.248,0.869,-0.059,55.542,17.273,25.024,1
0.268,0.878,-0.042,42.786,9.949,12.085,1
0.278,0.886,-0.042,31.921,3.54,2.869,1
0.302,0.897,-0.036,25.33,1.404,-2.686,1
0.338,0.901,-0.031,23.437,0.671,-5.554,1
0.357,0.916,-0.021,24.292,-0.671,-5.615,1
0.365,0.927,-0.007,27.71,-1.099,-3.845,1
0.37,0.922,0.02,32.471,-0.183,-1.343,1
0.373,0.907,0.048,36.804,1.648,-0.305,1
0.372,0.894,0.077,39.612,3.967,-0.061,1
0.366,0.875,0.105,41.138,6.287,-0.061,1
0.361,0.857,0.124,41.443,9.277,0.366,1
0.355,0.842,0.135,41.443,12.634,1.587,1
0.35,0.84,0.151,40.649,15.686,3.113,1
0.35,0.84,0.155,39.612,18.311,4.822,1
0.364,0.839,0.158,38.269,20.508,6.409,1
0.37,0.837,0.158,36.865,20.691,7.324,1
0.374,0.83,0.16,34.912,18.921,7.446,1
0.371,0.834,0.171,31.86,15.198,7.141,1
0.359,0.842,0.182,28.748,12.329,5.981,1
