aX,aY,aZ,gX,gY,gZ,sample
0.361,0.549,-0.774,-15.198,-3.235,1.282,1
0.358,0.541,-0.783,-14.343,-2.38,0.122,1
0.348,0.523,-0.789,-12.268,-2.441,-0.122,1
0.34,0.516,-0.796,-10.254,-1.953,0.61,1
0.33,0.516,-0.798,-9.155,-0.488,1.953,1
0.321,0.517,-0.795,-8.057,0.61,3.723,1
0.311,0.526,-0.788,-7.141,1.404,5.615,1
0.31,0.537,-0.791,-7.019,2.197,7.08,1
0.317,0.536,-0.798,-7.812,3.479,7.263,1
0.311,0.543,-0.793,-9.583,3.967,5.859,1
2.227,3.905,-0.44,617.126,163.818,-48.645,2
0.157,2.38,-3.363,1059.814,-21.362,-108.826,2
-1.164,1.211,-2.953,517.456,-109.131,-137.939,2
-0.452,0.433,-1.437,85.876,-55.054,-68.054,2
0.118,0.328,-1.162,-53.284,-30.09,-4.761,2
0.347,0.559,-0.734,-128.113,-7.69,22.095,2
0.339,0.539,-0.179,-130.066,-11.841,28.198,2
0.213,0.514,-0.11,-92.407,-6.714,30.212,2
0.183,0.566,-0.195,-59.631,5.676,39.978,2
0.151,0.616,-0.249,-45.471,5.432,47.18,2
0.21,0.688,-0.263,-46.753,8.484,48.035,2
0.255,0.756,-0.28,-53.589,9.155,40.039,2
0.215,0.794,-0.346,-54.81,2.441,25.574,2
0.138,0.816,-0.466,-51.575,-2.93,12.146,2
0.117,0.844,-0.59,-51.88,-2.991,4.761,2
0.133,0.846,-0.69,-58.289,-1.831,1.709,2
0.145,0.836,-0.748,-70.984,-0.916,0.854,2
0.182,0.818,-0.781,-90.149,-0.488,2.502,2
0.224,0.807,-0.782,-113.464,-0.61,5.92,2
0.219,0.812,-0.725,-136.047,-1.526,10.132,2
0.138,0.854,-0.578,-148.56,-4.395,14.771,2
0.002,0.86,-0.502,-141.113,-5.981,22.827,2
-0.029,0.84,-0.465,-119.324,-2.808,34.668,2
0.084,0.946,-0.469,-101.746,7.507,41.016,2
0.209,0.99,-0.553,-84.595,13.184,36.621,2
0.214,1.022,-0.577,-72.754,7.568,22.766,2
0.163,1.001,-0.57,-64.026,-1.648,6.226,2
0.117,0.95,-0.615,-54.688,-8.606,-5.798,2
0.078,0.888,-0.693,-48.584,-13.611,-12.268,2
0.065,0.837,-0.731,-48.95,-16.785,-14.282,2
0.063,0.799,-0.733,-54.749,-16.663,-12.695,2
0.076,0.781,-0.702,-61.279,-14.282,-9.521,2
0.1,0.781,-0.663,-66.162,-12.329,-6.409,2
0.118,0.769,-0.628,-66.895,-12.39,-4.944,2
0.13,0.726,-0.635,-63.171,-13.428,-4.883,2
0.135,0.689,-0.631,-59.448,-14.343,-5.798,2
0.123,0.654,-0.623,-55.969,-18.127,-6.592,2
0.119,0.598,-0.653,-47.913,-19.104,-4.761,2
0.126,0.562,-0.703,-42.603,-19.836,-3.113,2
0.139,0.527,-0.737,-39.368,-19.958,-0.549,2
0.148,0.508,-0.75,-38.208,-20.325,2.625,2
0.168,0.504,-0.756,-39.124,-19.287,5.127,2
0.198,0.503,-0.76,-40.161,-16.968,7.019,2
0.224,0.499,-0.764,-39.673,-15.93,7.202,2
0.235,0.497,-0.758,-37.842,-17.09,5.981,2
0.235,0.497,-0.747,-34.424,-19.043,4.333,2
0.239,0.491,-0.754,-29.48,-21.118,3.174,2
0.248,0.473,-0.774,-23.499,-23.071,2.563,2
0.251,0.458,-0.79,-18.738,-24.963,1.526,2
0.253,0.432,-0.811,-15.076,-26.001,0.366,2
0.263,0.397,-0.847,-12.756,-25.94,0.244,2
0.273,0.369,-0.886,-11.719,-26.245,0.244,2
0.282,0.349,-0.916,-12.024,-26.733,-0.061,2
0.291,0.343,-0.927,-14.404,-27.1,-0.244,2
0.296,0.349,-0.926,-18.494,-26.001,-0.977,2
0.298,0.351,-0.927,-22.4,-23.56,-1.587,2
0.302,0.354,-0.937,-25.94,-21.79,-1.282,2
0.313,0.354,-0.941,-29.236,-20.935,-0.549,2
0.337,0.352,-0.921,-31.677,-20.386,-0.61,2
0.374,0.317,-0.924,-31.067,-19.775,-1.648,2
0.424,0.229,-0.963,-26.428,-18.555,-3.784,2
0.466,0.085,-1.049,-15.137,-16.541,-5.005,2
0.398,0.147,-1.036,-2.38,-13.123,-3.845,2
0.336,0.316,-0.962,0.122,-7.507,1.282,2
0.314,0.402,-0.959,-5.005,2.808,7.385,2
0.31,0.415,-0.993,-8.85,11.169,11.719,2
0.313,0.42,-1.003,-13.489,12.512,12.634,2
0.301,0.418,-0.976,-18.921,10.315,10.132,2
0.287,0.421,-0.906,-25.513,9.155,4.822,2
0.272,0.393,-0.842,-28.442,8.667,-1.099,2
0.253,0.363,-0.788,-26.306,5.737,-5.615,2
0.221,0.345,-0.749,-21.24,2.197,-9.277,2
0.205,0.322,-0.742,-15.503,-0.305,-11.169,2
0.198,0.302,-0.748,-10.376,-1.892,-11.902,2
0.185,0.298,-0.726,-5.981,-3.845,-12.207,2
0.188,0.293,-0.714,-0.977,-5.798,-10.864,2
0.196,0.29,-0.726,5.31,-6.836,-9.094,2
0.197,0.3,-0.751,10.986,-7.263,-7.69,2
0.198,0.321,-0.795,14.282,-6.165,-6.348,2
0.21,0.33,-0.857,13.55,-2.747,-5.127,2
0.218,0.349,-0.897,9.827,1.221,-3.967,2
0.229,0.378,-0.9,5.981,2.808,-2.197,2
0.244,0.4,-0.895,2.991,3.235,-0.793,2
0.251,0.417,-0.895,1.587,3.174,-0.671,2
0.248,0.442,-0.889,0.916,2.808,-1.343,2
0.241,0.464,-0.87,0.549,1.831,-2.686,2
0.232,0.456,-0.877,2.014,-0.061,-3.601,2
0.222,0.439,-0.895,3.723,-2.38,-3.784,2
0.209,0.438,-0.893,3.54,-4.089,-3.418,2
