aX,aY,aZ,gX,gY,gZ,sample
0.42,0.813,-0.182,-223.145,-51.697,-33.752,1
0.025,0.988,0.582,-194.58,-88.318,-26.611,1
-0.009,1.158,0.523,-109.314,-73.181,8.484,1
-0.013,1.065,0.616,-11.414,-68.787,19.653,1
0.082,1.067,0.576,30.823,-58.96,13.733,1
0.103,1.193,0.575,22.827,-25.146,8.423,1
0.095,1.245,0.589,13.672,3.845,-4.578,1
0.095,1.198,0.587,13.733,20.386,-12.329,1
0.083,1.112,0.521,18.372,32.776,-15.747,1
0.071,1.068,0.476,19.287,44.617,-17.395,1
0.067,1.048,0.439,18.494,50.537,-15.015,1
0.098,1.023,0.384,15.381,48.401,-10.315,1
0.164,0.995,0.408,14.404,39.001,-5.737,1
0.211,0.956,0.518,22.034,26.55,-2.075,1
0.242,0.906,0.579,31.555,18.433,0.977,1
0.293,0.887,0.533,39.307,18.616,1.587,1
0.333,0.843,0.478,43.274,20.203,-1.343,1
0.373,0.798,0.44,42.542,19.714,-4.333,1
0.386,0.784,0.413,40.039,18.066,-6.104,1
0.386,0.763,0.415,36.56,15.442,-6.226,1
0.384,0.751,0.432,33.325,11.719,-5.493,1
0.373,0.753,0.447,31.006,9.277,-4.578,1
0.361,0.748,0.46,31.067,6.775,-2.625,1
0.343,0.74,0.468,32.288,4.272,0.061,1
0.332,0.733,0.47,33.203,1.831,3.357,1
0.305,0.736,0.471,32.043,0.61,6.409,1
0.282,0.739,0.48,30.212,1.892,7.812,1
0.251,0.732,0.5,28.076,1.465,6.653,1
0.22,0.717,0.519,25.452,2.625,5.066,1
0.189,0.7,0.529,22.583,4.761,4.272,1
0.169,0.691,0.547,19.47,6.714,4.211,1
0.161,0.676,0.572,16.724,7.751,4.639,1
0.159,0.669,0.593,14.648,8.179,5.554,1
0.175,0.666,0.604,12.878,9.094,7.202,1
0.196,0.669,0.606,11.841,9.583,9.888,1
0.217,0.674,0.601,11.23,9.399,12.634,1
0.236,0.69,0.594,10.437,8.545,14.282,1
0.255,0.699,0.595,8.972,7.446,14.465,1
0.266,0.708,0.61,7.874,5.493,13.123,1
0.271,0.724,0.616,6.836,4.822,10.132,1
0.278,0.73,0.62,5.798,6.287,5.676,1
0.28,0.733,0.614,5.249,8.911,1.587,1
0.277,0.734,0.606,5.005,9.521,-1.038,1
0.271,0.732,0.6,5.127,8.24,-1.831,1
0.271,0.733,0.599,4.395,6.653,-1.404,1
0.277,0.74,0.598,3.906,5.554,-0.854,1
0.277,0.742,0.593,4.578,4.639,-1.099,1
0.269,0.744,0.589,5.127,3.174,-2.014,1
0.275,0.749,0.585,5.676,1.465,-2.441,1
0.275,0.749,0.577,7.202,-0.061,-1.892,1
0.273,0.753,0.573,8.24,-1.892,-0.549,1
0.269,0.759,0.572,8.789,-3.784,0.671,1
0.275,0.765,0.575,8.545,-4.395,0.793,1
0.271,0.777,0.571,7.751,-3.113,-0.366,1
0.253,0.774,0.569,6.287,-1.648,-2.625,1
0.249,0.767,0.573,4.089,-0.305,-3.845,1
0.236,0.758,0.578,2.625,-0.122,-4.028,1
0.23,0.756,0.581,2.686,-0.732,-3.235,1
0.219,0.756,0.581,3.052,-1.221,-2.136,1
0.22,0.756,0.586,3.601,-1.221,-0.793,1
0.215,0.755,0.587,4.517,-0.916,0.366,1
0.211,0.754,0.589,5.554,-0.61,1.221,1
0.208,0.75,0.594,6.042,-0.183,1.648,1
0.216,0.757,0.589,6.653,0.427,1.892,1
0.227,0.751,0.586,7.385,0.916,1.038,1
0.231,0.741,0.588,8.179,1.099,0,1
0.237,0.735,0.575,8.545,2.075,-1.282,1
0.243,0.728,0.566,7.996,3.54,-2.319,1
0.255,0.722,0.564,6.775,3.906,-2.93,1
0.265,0.717,0.56,5.859,3.662,-2.625,1
0.276,0.711,0.558,5.066,3.784,-2.014,1
0.276,0.714,0.558,4.272,3.662,-1.892,1
0.279,0.714,0.571,2.93,4.15,-1.526,1
0.287,0.716,0.569,2.136,5.432,-1.282,1
0.29,0.72,0.563,1.77,6.104,-1.465,1
0.294,0.726,0.566,1.282,5.249,-1.587,1
0.294,0.731,0.579,1.038,3.357,-1.343,1
0.288,0.737,0.588,1.404,1.648,-0.671,1
0.281,0.744,0.588,1.709,1.038,-0.183,1
0.277,0.748,0.586,1.709,0.793,-0.244,1
0.281,0.753,0.591,0.916,0.183,-0.61,1
0.278,0.757,0.596,0.427,-0.244,-0.549,1
0.273,0.757,0.606,0.061,-0.305,-0.671,1
0.27,0.758,0.611,0.244,0.244,-0.916,1
0.271,0.765,0.608,0.732,1.282,-1.16,1
0.27,0.767,0.608,0.732,2.197,-1.831,1
0.266,0.762,0.61,1.465,2.258,-2.319,1
0.279,0.763,0.603,2.258,2.075,-2.014,1
0.293,0.763,0.594,2.808,1.587,-1.465,1
0.299,0.754,0.593,3.113,0.183,-1.953,1
0.304,0.747,0.591,2.93,0.305,-2.747,1
0.298,0.739,0.589,2.441,0.793,-3.235,1
0.29,0.729,0.587,2.319,1.038,-3.479,1
0.288,0.725,0.586,2.502,0.732,-2.869,1
