1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,sample
28.719999,33.360001,32.779999,40.779999,48.84,43.579998,41.419998,35.279999,30.92,123.82,105.360001,32.779999,49.899998,43.879997,33.759998,25.599998,18.799999,13.04,8.08,5.1,0,0,0,0,3.62,5.1,6.26,7.24,8.08,8.86,8.86,9.559999,9.559999,8.86,8.86,8.86,8.08,8.08,8.08,7.24,7.24,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,1
26.84,28.959999,37.619999,41.899998,42.360001,44.48,38.299999,37.959999,34.139999,116,85.739998,17.719999,10.219999,19.139999,23.459999,24.539999,22.879999,20.139999,17.359999,14.92,12.54,10.86,8.86,6.26,3.62,0,0,0,0,0,3.62,3.62,5.1,6.26,6.26,7.24,7.24,7.24,8.08,8.08,8.08,7.24,7.24,7.24,7.24,7.24,6.26,6.26,6.26,5.1,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,2
21.1,30.5,48.02,62.48,70.379997,86.040001,83.019997,101.619995,85.900002,85.900002,240.279999,52.459999,82.459999,72.760002,54.899998,41.099998,30.699999,23.18,16.98,12,8.08,5.1,0,0,0,0,0,0,3.62,3.62,5.1,5.1,6.26,6.26,7.24,7.24,7.24,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,7.24,7.24,7.24,6.26,6.26,6.26,5.1,5.1,5.1,5.1,3.62,3.62,3.62,3
22.02,23.459999,27.799999,102.519997,87.779999,16.98,12.54,22.6,26.84,26.34,22.6,18.1,14.92,12.54,10.219999,8.08,5.1,3.62,0,0,0,0,0,0,0,3.62,5.1,5.1,6.26,6.26,7.24,7.24,8.08,8.08,8.08,8.08,8.08,7.24,7.24,7.24,7.24,7.24,7.24,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,4
27.08,24.539999,131.020004,165.619995,27.32,22.879999,35.279999,36.739998,35.279999,31.559999,26.84,22.02,17.359999,13.54,10.219999,7.24,5.1,0,0,0,0,0,0,3.62,3.62,5.1,5.1,5.1,5.1,6.26,6.26,6.26,6.26,6.26,5.1,5.1,5.1,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
24,28.5,31.959999,33.959999,37.959999,207.360001,96.579994,22.02,41.739998,42.200001,37.799999,32.18,26.84,22.299999,18.459999,14.48,10.86,7.24,3.62,0,0,0,0,0,3.62,3.62,5.1,5.1,5.1,6.26,6.26,6.26,7.24,7.24,7.24,7.24,7.24,7.24,6.26,6.26,6.26,6.26,5.1,5.1,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,6
43.119999,55.959999,57.34,50.68,56.779999,65.260002,55.259998,213.619995,142.300003,76.119995,83.639999,63.419998,46.200001,34.139999,25.08,18.459999,13.54,9.559999,6.26,3.62,0,0,0,0,0,0,0,3.62,3.62,3.62,3.62,5.1,5.1,5.1,6.26,6.26,6.26,7.24,7.24,7.24,7.24,7.24,7.24,8.08,8.08,8.08,8.08,8.08,8.08,8.08,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,6.26,6.26,6.26,6.26,6.26,7
26.84,34.719997,38.82,36.919998,35.639999,29.84,95.559998,100.699997,22.879999,6.26,11.44,13.54,14.02,14.92,15.339999,15.339999,15.339999,14.02,12.54,11.44,49.899998,21.1,11.44,10.219999,6.26,5.1,0,0,0,0,0,3.62,3.62,5.1,5.1,6.26,6.26,6.26,7.24,7.24,7.24,8.08,7.24,7.24,7.24,7.24,6.26,6.26,6.26,6.26,5.1,5.1,5.1,5.1,3.62,3.62,3.62,3.62,0,0,0,0,0,0,8
32.98,42.059998,47.200001,52.82,44.32,112.159996,153.899994,36.559998,10.219999,21.1,25.08,26.099998,25.34,23.74,22.879999,21.1,18.1,14.02,9.559999,6.26,3.62,0,0,0,3.62,5.1,6.26,7.24,8.08,8.86,9.559999,10.219999,10.219999,10.86,10.86,10.86,10.86,10.86,10.219999,10.219999,9.559999,9.559999,8.86,8.86,8.08,7.24,7.24,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,9
21.4,20.459999,22.02,26.099998,29.4,31.559999,90.699997,111.579994,54.18,51.959999,40.619999,29.179998,21.1,14.48,9.559999,5.1,0,0,0,3.62,6.26,7.24,8.86,9.559999,10.219999,10.86,11.44,12,12,12.54,12,12,11.44,11.44,10.86,10.86,10.219999,9.559999,8.86,8.86,8.08,8.08,7.24,7.24,7.24,6.26,6.26,6.26,6.26,5.1,5.1,5.1,5.1,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,10
