1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,sample
44.919998,76.119995,63.32,70.099998,73.839996,82.220001,70.479996,66.360001,55.719997,50.539997,41.419998,32.18,25.34,20.139999,17.359999,19.82,16.18,15.339999,16.18,16.98,11.44,7.24,0,0,0,0,0,5.1,7.24,8.86,9.559999,9.559999,8.86,8.08,8.08,7.24,7.24,6.26,6.26,6.26,7.24,8.08,8.86,9.559999,10.219999,10.219999,9.559999,9.559999,9.559999,9.559999,9.559999,8.86,8.86,8.86,8.86,8.86,8.86,8.08,8.08,7.24,6.26,6.26,5.1,5.1,1
40.779999,34.899998,30.699999,29.619999,21.1,16.98,13.54,11.44,7.24,12.54,24.539999,12,13.04,21.1,22.02,20.459999,18.1,16.98,16.18,14.02,10.86,8.08,5.1,0,0,0,0,3.62,3.62,5.1,5.1,6.26,6.26,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,2
42.98,42.200001,47.739998,46.360001,39.139999,32.779999,23.74,20.779999,14.92,7.24,6.26,5.1,6.26,8.08,12.54,13.54,12.54,11.44,10.219999,8.08,6.26,3.62,3.62,0,0,0,0,0,0,3.62,3.62,5.1,6.26,7.24,8.08,8.08,8.08,8.08,8.08,8.08,7.24,7.24,7.24,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3
51.32,60.239998,62.059998,64.860001,76.619995,76.379997,71.199997,56.199997,47.879997,35.099998,26.599998,20.139999,15.339999,12.54,15.78,18.1,15.339999,15.339999,12.54,11.44,14.48,9.559999,5.1,0,8.86,5.1,5.1,0,0,0,0,0,0,0,3.62,6.26,8.08,8.86,9.559999,9.559999,9.559999,9.559999,9.559999,9.559999,9.559999,8.86,8.86,8.08,7.24,7.24,7.24,7.24,6.26,6.26,6.26,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,4
46.5,55.139999,53.82,58.699997,76.18,74.639999,72.479996,54.059998,59.48,42.360001,30.699999,24.279999,19.48,14.48,12,12,13.04,13.04,10.86,8.86,8.86,5.1,0,0,0,0,0,0,0,3.62,5.1,3.62,3.62,3.62,5.1,6.26,7.24,8.08,8.86,9.559999,9.559999,8.86,8.86,8.86,8.08,8.08,7.24,7.24,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0,0,0,0,5
44.32,55.379997,58.039997,53.32,66.360001,62.899998,56.539997,47.059998,44.040001,38.82,30.5,20.459999,15.339999,10.219999,8.86,12,12,10.86,12,13.54,9.559999,13.54,10.86,10.219999,8.08,6.26,6.26,3.62,3.62,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,5.1,6.26,7.24,7.24,7.24,7.24,7.24,6.26,6.26,6.26,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,3.62,3.62,3.62,6
42.200001,53.82,58.699997,58.599998,48.16,47.34,40.939999,36.559998,26.599998,20.459999,17.359999,11.44,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,5.1,5.1,5.1,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
50.939999,89.619995,85.119995,98.599998,113.439995,102.519997,95.299995,83.339996,78.059998,65.459999,49.239998,32.380001,23.74,17.719999,18.459999,18.459999,16.58,15.339999,13.54,12,10.219999,8.86,6.26,3.62,0,0,0,0,0,3.62,5.1,6.26,7.24,8.08,8.08,8.08,8.08,8.08,7.24,7.24,6.26,7.24,7.24,7.24,6.26,6.26,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,7.24,8
54.66,53.199997,60.459999,75.599998,78.479996,67.519997,62.699997,52.459999,45.639999,38.299999,32.579998,25.599998,16.58,10.86,0,0,0,6.26,8.86,12,13.54,13.54,13.54,13.54,13.54,13.54,13.54,12.54,12,10.219999,7.24,5.1,0,0,0,3.62,5.1,6.26,6.26,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,6.26,6.26,6.26,6.26,6.26,5.1,5.1,5.1,5.1,9
70,106.540001,115.099998,105.540001,110.519997,108,93.220001,89.919998,67.239998,60.899998,39.32,28.719999,20.779999,24,22.299999,22.299999,22.299999,17.359999,13.54,8.08,10.219999,5.1,3.62,0,0,0,3.62,6.26,7.24,8.86,9.559999,8.86,8.86,9.559999,10.219999,10.86,11.44,11.44,12,12,12,12,11.44,11.44,10.86,10.86,10.219999,9.559999,9.559999,8.86,8.08,7.24,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,0,0,10
