1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,sample
45.919998,56.199997,60.899998,62.18,64.860001,60.779999,50.02,37.619999,35.82,7.24,0,0,0,5.1,7.24,8.86,8.86,8.86,8.08,6.26,8.08,10.86,13.54,14.48,14.02,12.54,9.559999,6.26,5.1,3.62,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,5.1,6.26,7.24,7.24,8.08,8.86,9.559999,9.559999,9.559999,10.219999,10.219999,9.559999,9.559999,9.559999,9.559999,9.559999,9.559999,8.86,8.86,8.08,8.08,1
54.059998,60.68,57.459999,46.360001,38.639999,25.08,10.86,0,0,0,0,0,3.62,5.1,6.26,7.24,7.24,7.24,6.26,5.1,5.1,5.1,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,3.62,3.62,3.62,3.62,5.1,5.1,5.1,5.1,5.1,5.1,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,5.1,2
49.099998,53.559998,59.139999,55.5,47.34,36.919998,13.54,3.62,3.62,3.62,5.1,5.1,6.26,6.26,5.1,5.1,5.1,5.1,3.62,6.26,6.26,0,7.24,10.219999,10.86,11.44,10.86,9.559999,7.24,6.26,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,3.62,3.62,3.62,5.1,5.1,5.1,5.1,6.26,6.26,6.26,6.26,6.26,6.26,5.1,5.1,5.1,3.62,0,0,0,0,0,3
44.18,39.139999,32.18,22.02,7.24,0,5.1,7.24,10.219999,12,12,11.44,10.219999,9.559999,3.62,3.62,7.24,9.559999,10.86,10.86,10.219999,8.86,7.24,5.1,3.62,0,0,0,0,0,0,0,0,3.62,3.62,5.1,5.1,6.26,7.24,7.24,7.24,7.24,7.24,7.24,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,4
43.879997,44.18,47.739998,50.539997,51.32,50.539997,42.360001,33.959999,7.24,0,0,3.62,6.26,7.24,8.86,9.559999,8.86,3.62,0,0,7.24,13.04,14.92,15.78,14.02,10.219999,6.26,0,0,0,3.62,3.62,3.62,5.1,5.1,5.1,5.1,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
63.739998,63.32,65.659996,68.779999,65.959999,60.899998,51.699997,56.66,33.559998,11.44,12,12.54,14.48,16.58,16.98,15.339999,14.02,11.44,9.559999,10.219999,10.219999,8.86,6.26,3.62,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,6.26,8.08,8.86,8.08,8.08,7.24,7.24,6.26,6.26,6.26,6.26,6.26,5.1,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,3.62,6
49.759998,49.5,55.379997,57.799999,59.259998,61.639999,43.279999,48.559998,18.1,8.08,0,0,3.62,8.08,10.219999,12,10.86,8.86,10.86,9.559999,10.219999,10.86,8.86,6.26,0,0,0,0,0,0,3.62,3.62,0,3.62,3.62,3.62,3.62,3.62,3.62,5.1,5.1,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,3.62,7
40.779999,41.259998,39.82,38.82,35.639999,34.139999,22.02,6.26,0,0,0,5.1,9.559999,10.219999,10.86,10.219999,7.24,6.26,6.26,5.1,6.26,5.1,0,0,0,0,0,0,0,0,3.62,3.62,3.62,3.62,3.62,5.1,6.26,5.1,5.1,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
41.099998,51.699997,51.579998,55.259998,56.199997,46.5,38.98,36.02,28.5,17.359999,6.26,5.1,6.26,7.24,7.24,7.24,8.08,8.08,8.86,8.86,3.62,0,6.26,10.219999,11.44,12,11.44,10.86,9.559999,7.24,5.1,0,0,0,0,0,0,0,0,0,3.62,5.1,6.26,7.24,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,7.24,6.26,5.1,3.62,3.62,3.62,3.62,0,0,0,0,9
44.18,49.099998,47.619999,51.84,46.639999,43.879997,35.279999,32.380001,14.48,5.1,3.62,7.24,8.86,8.86,8.86,9.559999,8.08,3.62,6.26,7.24,8.86,9.559999,8.86,8.86,8.08,7.24,5.1,0,0,0,0,3.62,5.1,5.1,6.26,6.26,6.26,6.26,7.24,7.24,8.08,8.08,8.86,8.86,8.86,8.08,8.08,7.24,6.26,5.1,5.1,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,10
45.639999,44.32,45.919998,44.040001,45.919998,38.299999,37.079998,31.959999,10.86,3.62,5.1,7.24,10.86,13.54,13.54,13.04,6.26,10.219999,9.559999,9.559999,10.219999,10.219999,9.559999,6.26,3.62,0,0,0,0,3.62,5.1,6.26,6.26,7.24,7.24,7.24,6.26,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
45.5,46.059998,46.919998,45.919998,41.739998,38.299999,31.76,28.5,14.02,3.62,3.62,0,3.62,7.24,9.559999,10.219999,9.559999,8.86,7.24,3.62,0,3.62,0,3.62,8.86,12,13.04,13.04,11.44,9.559999,7.24,5.1,3.62,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,5.1,6.26,6.26,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,12
45.200001,44.48,45.919998,38.299999,30.279999,30.699999,22.879999,5.1,0,3.62,8.08,9.559999,10.219999,9.559999,9.559999,8.08,7.24,5.1,0,0,3.62,8.08,11.44,12,12,10.86,10.219999,8.08,5.1,3.62,0,0,0,3.62,5.1,5.1,6.26,7.24,6.26,6.26,6.26,6.26,5.1,5.1,5.1,5.1,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
41.099998,47.879997,48.279999,45.34,45.639999,41.579998,29.619999,25.599998,8.86,5.1,3.62,6.26,6.26,5.1,5.1,3.62,6.26,0,0,0,3.62,10.219999,11.44,10.219999,8.08,6.26,3.62,0,0,0,0,0,3.62,5.1,6.26,6.26,6.26,6.26,5.1,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
47.879997,61.639999,65.360001,71.400002,72.580002,65.860001,51.84,33.559998,14.02,5.1,5.1,0,0,3.62,8.08,10.219999,11.44,10.86,6.26,0,0,3.62,8.08,10.86,11.44,11.44,10.86,10.219999,8.08,5.1,0,0,0,3.62,5.1,6.26,7.24,8.08,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.08,8.08,7.24,7.24,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,15
41.099998,46.059998,45.779999,47.200001,44.18,43.279999,40.619999,33.959999,24.279999,13.54,5.1,3.62,7.24,9.559999,10.86,10.86,10.219999,8.86,7.24,6.26,7.24,7.24,8.08,8.86,8.86,8.86,8.86,8.08,8.08,8.08,6.26,3.62,0,0,0,3.62,5.1,6.26,7.24,8.08,8.08,8.86,8.86,8.86,8.86,8.08,8.08,8.08,7.24,6.26,6.26,5.1,5.1,5.1,5.1,3.62,3.62,3.62,3.62,3.62,0,0,0,0,16
44.779999,42.68,41.579998,31.559999,25.84,6.26,6.26,8.08,10.86,12,10.86,12.54,3.62,3.62,10.86,16.18,16.98,14.92,12,10.219999,8.08,7.24,5.1,3.62,0,0,0,0,3.62,5.1,7.24,7.24,7.24,8.08,8.86,8.08,7.24,7.24,6.26,6.26,6.26,6.26,5.1,5.1,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
43.119999,42.059998,46.639999,41.259998,37.079998,32.779999,16.18,3.62,3.62,5.1,8.08,8.86,10.219999,10.86,11.44,8.86,8.08,10.219999,11.44,13.04,13.04,10.86,8.08,5.1,0,0,0,0,0,0,0,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
43.739998,46.360001,48.419998,46.779999,48.700001,38.98,35.459999,21.4,8.08,5.1,5.1,7.24,8.86,10.219999,12,13.04,11.44,11.44,8.08,5.1,6.26,7.24,8.08,8.08,7.24,5.1,5.1,3.62,0,0,0,5.1,6.26,7.24,8.08,8.86,8.86,8.08,7.24,7.24,7.24,7.24,7.24,6.26,6.26,5.1,5.1,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,19
