1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,sample
31.959999,19.48,17.719999,15.339999,14.48,13.54,12.54,12.54,13.04,15.339999,16.18,17.719999,18.1,16.58,12.54,14.02,19.82,26.599998,21.4,16.98,16.98,17.719999,17.359999,18.1,16.98,13.54,10.86,8.86,6.26,3.62,0,0,0,0,0,3.62,7.24,9.559999,12,14.02,15.339999,15.78,15.78,14.92,13.54,12,10.86,9.559999,8.86,8.86,8.86,8.86,9.559999,9.559999,9.559999,9.559999,9.559999,9.559999,8.86,8.86,8.08,7.24,7.24,6.26,1
24,33.559998,30.279999,30.279999,31.139999,34.899998,33.759998,35.459999,33.18,35.639999,35.82,38.48,41.099998,38.299999,37.439999,39.48,39.32,39.639999,36.919998,39.82,33.959999,33.959999,34.899998,32.779999,30.279999,31.959999,34.139999,18.459999,16.18,16.58,12.54,6.26,3.62,3.62,6.26,8.08,9.559999,10.86,12,12.54,11.44,10.219999,11.44,13.54,14.92,15.78,15.78,15.78,14.92,14.02,13.04,12.54,11.44,10.86,9.559999,8.08,7.24,7.24,6.26,6.26,5.1,5.1,6.26,5.1,2
35.279999,46.059998,32.18,26.34,25.599998,25.08,24,25.34,25.34,24.539999,24.279999,25.599998,22.6,21.719999,19.139999,21.1,18.799999,17.359999,16.98,15.339999,13.54,12.54,12,13.54,14.02,12.54,10.86,8.86,8.08,7.24,6.26,6.26,5.1,3.62,3.62,3.62,0,0,0,0,3.62,3.62,5.1,5.1,5.1,5.1,5.1,5.1,6.26,6.26,6.26,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,6.26,6.26,6.26,6.26,5.1,3
21.719999,38.98,31.34,27.799999,28.039999,29.4,30.92,31.34,32.380001,33.959999,32.779999,32.18,30.5,27.32,27.32,30.279999,28.959999,29.84,31.76,29.179998,27.32,25.599998,22.6,20.139999,18.459999,18.459999,19.82,13.04,10.219999,11.44,14.92,15.78,18.799999,16.98,10.86,5.1,0,7.24,10.86,12.54,14.02,15.339999,16.98,18.1,19.139999,19.82,19.82,19.82,19.48,18.799999,17.719999,16.58,15.339999,14.48,13.54,13.04,12,10.86,10.219999,10.219999,9.559999,8.86,7.24,7.24,4
21.1,38.82,32.98,35.279999,27.799999,27.32,30.059999,29.179998,32.98,32.579998,33.559998,36.380001,36.739998,38.299999,36.200001,36.739998,31.959999,30.059999,28.039999,27.559999,28.5,27.32,24.82,24.82,21.1,17.719999,10.86,13.54,14.92,12,8.08,5.1,0,0,3.62,5.1,6.26,6.26,7.24,8.08,8.86,10.219999,10.86,12,13.54,14.02,13.04,13.54,13.04,12.54,12.54,12.54,13.04,13.54,14.48,14.48,14.48,14.02,13.04,12,10.86,10.86,10.86,10.219999,5
28.959999,37.259998,28.039999,29.179998,29.179998,26.099998,24.279999,22.6,23.459999,22.879999,20.139999,18.459999,21.4,22.879999,22.6,22.6,20.779999,18.1,16.58,15.339999,14.02,12,10.219999,7.24,5.1,0,0,0,0,5.1,6.26,8.08,8.86,9.559999,9.559999,10.219999,10.219999,10.219999,10.219999,10.219999,10.219999,9.559999,9.559999,8.86,8.86,8.08,7.24,6.26,6.26,6.26,5.1,5.1,5.1,5.1,6.26,6.26,6.26,6.26,6.26,5.1,5.1,3.62,3.62,0,6
20.139999,19.139999,18.459999,17.359999,13.54,12,8.08,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,3.62,3.62,3.62,5.1,5.1,5.1,5.1,6.26,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,7
21.719999,19.48,16.18,14.92,16.18,16.18,15.339999,14.92,14.92,14.92,14.92,14.92,14.48,14.48,15.339999,16.58,18.1,19.139999,19.48,18.459999,18.1,14.02,8.86,10.219999,13.54,14.02,13.04,11.44,9.559999,8.08,7.24,7.24,6.26,5.1,3.62,0,0,0,0,0,0,0,3.62,3.62,3.62,5.1,5.1,5.1,3.62,5.1,5.1,7.24,8.08,8.08,8.08,7.24,6.26,5.1,5.1,5.1,5.1,5.1,5.1,5.1,8
27.799999,33.959999,35.639999,21.719999,20.139999,19.139999,19.82,19.139999,23.459999,27.32,30.059999,27.32,24.539999,21.719999,19.48,18.1,17.359999,16.58,14.92,8.86,8.08,8.08,9.559999,12.54,12,9.559999,8.08,6.26,5.1,0,0,0,0,0,0,3.62,3.62,3.62,5.1,6.26,8.08,8.86,10.219999,10.86,11.44,11.44,12,11.44,10.86,10.86,10.219999,9.559999,8.86,8.86,8.08,8.08,8.08,7.24,6.26,6.26,5.1,5.1,3.62,3.62,9
22.299999,20.139999,19.82,21.4,24.539999,22.879999,22.879999,24,23.74,27.799999,26.84,24,22.02,20.139999,19.48,18.459999,17.719999,18.459999,13.54,8.86,5.1,0,0,0,3.62,6.26,7.24,8.86,9.559999,10.219999,10.86,10.86,10.86,10.86,10.219999,9.559999,9.559999,9.559999,9.559999,9.559999,9.559999,9.559999,10.219999,10.219999,10.219999,8.86,8.08,7.24,7.24,7.24,8.08,8.08,8.86,8.08,8.08,7.24,7.24,6.26,6.26,6.26,6.26,5.1,5.1,5.1,10
