1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,sample
50.419998,37.259998,40.619999,36.919998,35.82,34.899998,30.699999,31.559999,29.179998,27.799999,23.459999,26.599998,22.6,21.719999,22.6,32.779999,15.78,14.02,19.139999,10.86,15.339999,19.139999,15.339999,11.44,6.26,3.62,0,3.62,6.26,8.08,10.86,12,11.44,8.86,5.1,5.1,3.62,0,5.1,3.62,0,3.62,0,0,6.26,0,3.62,0,0,0,0,3.62,3.62,0,3.62,3.62,3.62,3.62,5.1,3.62,3.62,5.1,5.1,6.26,1
43.739998,36.200001,37.259998,36.02,32.579998,35.279999,30.279999,26.84,23.18,28.959999,26.84,30.699999,30.699999,24.539999,21.4,22.6,28.959999,36.380001,21.1,16.98,6.26,15.78,30.059999,32.779999,29.179998,24.279999,18.799999,14.02,10.219999,8.08,6.26,3.62,3.62,0,5.1,3.62,3.62,5.1,3.62,5.1,5.1,8.08,7.24,7.24,8.86,7.24,8.86,8.08,8.86,8.08,8.86,9.559999,8.86,9.559999,9.559999,10.86,10.86,9.559999,8.08,8.08,8.86,9.559999,10.86,12.54,2
44.18,32.779999,25.08,12,40.779999,52.079998,44.040001,32.579998,22.02,14.48,8.08,3.62,0,0,0,3.62,3.62,6.26,8.08,6.26,6.26,6.26,5.1,6.26,6.26,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,6.26,7.24,8.86,9.559999,10.219999,10.219999,10.219999,9.559999,9.559999,8.86,8.86,8.08,8.08,7.24,6.26,6.26,5.1,5.1,5.1,3.62,3
41.099998,45.5,50.539997,47.739998,48.279999,47.200001,42.059998,45.059998,40.939999,38.299999,33.559998,39.139999,40.139999,37.439999,39.48,35.82,28.039999,26.599998,17.719999,19.139999,22.299999,19.82,16.18,10.219999,5.1,12.54,19.82,24,25.34,22.299999,19.82,16.98,14.02,13.54,12.54,10.86,8.08,5.1,5.1,5.1,5.1,3.62,0,3.62,5.1,3.62,3.62,5.1,0,0,3.62,0,0,0,0,3.62,3.62,6.26,6.26,5.1,5.1,5.1,6.26,6.26,4
52.82,72.760002,68.68,63.739998,59.039997,74.720001,73.019997,75.080002,66.839996,61,72.68,72.68,75.239998,74.099998,71.760002,74.720001,66.540001,61.959999,50.539997,49.239998,46.779999,34.34,20.779999,41.099998,45.200001,43.279999,38.98,33.18,26.34,20.459999,16.18,9.559999,5.1,0,0,0,0,0,3.62,5.1,5.1,3.62,3.62,0,0,0,0,0,0,3.62,3.62,5.1,5.1,6.26,8.86,9.559999,12,11.44,12,12.54,12.54,13.04,12.54,11.44,5
54.539997,57.579998,56.539997,53.939999,48.02,52.32,41.259998,42.360001,42.059998,21.4,15.339999,30.92,44.619999,40.779999,32.779999,25.08,18.459999,12,7.24,3.62,0,0,0,7.24,5.1,5.1,3.62,5.1,5.1,5.1,3.62,3.62,5.1,3.62,0,0,5.1,5.1,6.26,5.1,5.1,0,0,3.62,3.62,3.62,3.62,5.1,3.62,5.1,5.1,6.26,5.1,5.1,5.1,5.1,3.62,0,0,0,0,3.62,5.1,0,6
93.279999,94.540001,88.239998,81.739998,75.239998,75.5,76.019997,66.260002,70,68.979996,72.760002,64.239998,71.199997,77.639999,76.119995,65.559998,55.84,72.839996,100.900002,66.540001,27.32,37.079998,51.84,43.739998,34.139999,24,16.58,14.48,12,7.24,5.1,6.26,3.62,3.62,3.62,0,0,0,0,0,0,0,0,3.62,5.1,5.1,8.08,8.08,9.559999,9.559999,10.219999,10.219999,10.219999,8.08,6.26,7.24,8.86,8.86,8.08,8.86,10.219999,10.219999,10.219999,9.559999,7
62.799999,69.159996,68.860001,71.479996,70.479996,71.839996,69.82,65.659996,71.580002,74.279999,73.919998,76.779999,77.220001,84.900002,80.040001,83.479996,108.119995,115.439995,110.919998,62.899998,25.08,51.699997,70.379997,66.839996,52.939999,45.059998,30.92,23.74,18.459999,15.78,10.219999,8.08,8.86,8.08,6.26,12.54,10.219999,7.24,5.1,0,3.62,8.86,13.04,16.58,19.139999,21.4,22.879999,24,25.34,26.34,26.34,25.599998,25.08,23.459999,20.779999,21.4,20.139999,19.82,19.139999,17.719999,14.92,13.54,13.04,13.04,8
97.939995,56.199997,48.279999,17.719999,35.279999,55.379997,57.68,52.32,43.119999,31.559999,24,18.459999,16.18,14.02,10.219999,10.219999,6.26,7.24,3.62,5.1,12,7.24,6.26,6.26,5.1,0,3.62,5.1,8.08,10.219999,12.54,14.92,18.1,19.82,21.4,23.18,24.279999,24,23.459999,23.459999,23.74,23.74,22.6,20.779999,19.82,19.139999,16.98,14.92,13.54,13.04,13.54,13.04,13.04,12.54,12.54,12,12,10.86,10.86,10.219999,9.559999,8.86,7.24,6.26,9
43.579998,58.359997,56.199997,47.619999,38.139999,32.380001,28.26,24.539999,20.139999,16.18,11.44,9.559999,8.86,5.1,0,0,3.62,8.86,3.62,3.62,6.26,5.1,5.1,6.26,7.24,6.26,9.559999,10.219999,12,11.44,12,13.54,12.54,14.02,14.92,15.339999,15.339999,16.58,16.58,15.78,15.339999,14.92,14.02,13.54,12,10.219999,9.559999,9.559999,9.559999,10.219999,10.219999,10.86,10.86,10.86,10.86,10.219999,9.559999,8.86,8.08,7.24,6.26,6.26,5.1,5.1,10
