aX,aY,aZ,gX,gY,gZ,sample
1.512,2.742,2.772,-506.592,65.308,-15.015,1
0.896,-0.911,4,-264.465,202.209,-26.978,1
1.096,-1.044,2.137,-127.319,238.22,-54.077,1
-0.429,0.155,0.928,-56.213,158.875,-69.275,1
-0.46,0.079,1.358,22.766,97.9,-63.66,1
-0.443,-0.265,1.049,80.078,35.583,-14.099,1
-0.374,-0.224,0.664,121.277,-49.927,22.766,1
-0.216,-0.108,0.637,129.333,-125.244,50.537,1
0.064,-0.085,0.699,117.371,-152.771,76.599,1
0.315,0.01,0.711,105.896,-130.249,73.853,1
0.495,0.193,0.749,86.365,-77.148,50.598,1
0.637,0.295,0.866,58.96,-16.296,26.978,1
0.727,0.321,1.036,33.63,28.381,9.216,1
0.727,0.287,1.147,18.982,46.021,0.854,1
0.71,0.244,1.146,13.855,44.006,2.502,1
0.693,0.214,1.074,12.817,34.668,9.338,1
0.663,0.175,1.004,12.146,25.146,15.686,1
0.63,0.13,0.974,11.597,17.883,18.433,1
0.56,0.1,0.954,12.451,13.123,17.395,1
0.521,0.116,0.948,14.343,11.169,12.512,1
0.478,0.091,0.917,15.991,10.437,6.226,1
0.455,0.078,0.869,17.151,10.437,-0.061,1
0.467,0.059,0.835,16.113,11.23,-3.296,1
0.501,0.039,0.829,14.343,10.437,-5.127,1
0.538,0.038,0.812,13.489,7.263,-7.385,1
0.563,0.038,0.799,13.489,2.808,-8.667,1
0.568,0.047,0.8,13,-0.977,-8.179,1
0.559,0.058,0.809,12.39,-3.662,-6.775,1
0.538,0.062,0.831,11.597,-5.31,-5.554,1
0.511,0.063,0.851,11.292,-6.592,-4.517,1
0.47,0.077,0.853,11.169,-6.287,-3.601,1
0.437,0.091,0.855,9.46,-4.578,-2.686,1
0.409,0.087,0.876,6.287,-2.93,-1.648,1
0.39,0.083,0.906,3.296,-1.16,-0.671,1
0.385,0.08,0.924,2.136,-1.038,0.061,1
0.391,0.085,0.938,1.831,-2.319,0.977,1
0.405,0.091,0.947,2.686,-3.662,1.465,1
0.414,0.102,0.949,3.967,-4.456,0.916,1
0.422,0.112,0.938,5.249,-4.028,0.61,1
0.421,0.123,0.928,5.554,-2.197,1.038,1
0.42,0.123,0.936,4.456,-0.549,1.648,1
0.414,0.125,0.962,3.662,-1.221,2.197,1
0.396,0.122,0.971,4.272,-3.174,3.052,1
0.369,0.127,0.974,6.287,-5.066,4.7,1
0.32,0.157,0.991,8.85,-7.874,7.568,1
0.332,0.205,1.043,11.719,-11.719,11.414,1
0.366,0.256,1.059,16.113,-16.541,14.282,1
0.405,0.303,1.044,20.63,-19.958,15.442,1
0.428,0.32,1.031,23.499,-18.982,15.869,1
0.444,0.33,1.018,24.78,-14.832,15.381,1
0.46,0.33,1.001,25.085,-9.338,13.855,1
0.453,0.318,0.988,25.33,-4.272,11.841,1
0.443,0.309,0.975,25.818,0.916,10.01,1
0.431,0.294,0.969,26.367,5.798,9.399,1
0.414,0.268,0.967,27.527,8.667,9.399,1
0.4,0.241,0.963,29.358,9.033,10.01,1
0.383,0.21,0.952,31.433,8.911,11.047,1
0.381,0.169,0.933,33.02,8.85,13.062,1
0.385,0.115,0.911,33.142,8.972,16.113,1
0.397,0.053,0.897,32.166,9.583,18.799,1
0.414,-0.014,0.888,30.823,10.315,20.325,1
0.44,-0.063,0.887,30.029,11.108,20.752,1
0.441,-0.113,0.875,30.334,10.864,20.996,1
0.458,-0.144,0.873,31.128,9.827,21.179,1
0.467,-0.16,0.875,32.532,6.714,21.301,1
0.475,-0.173,0.868,34.302,2.075,21.484,1
0.487,-0.184,0.855,36.072,-2.625,21.973,1
0.494,-0.187,0.846,37.537,-6.226,22.156,1
0.497,-0.18,0.835,38.33,-9.644,21.179,1
0.49,-0.176,0.823,37.659,-12.39,19.775,1
0.481,-0.177,0.813,36.011,-13.55,18.982,1
0.482,-0.182,0.807,33.813,-13.55,17.639,1
0.477,-0.189,0.81,31.616,-12.329,15.442,1
0.467,-0.189,0.808,29.846,-10.132,12.573,1
0.452,-0.184,0.804,28.076,-7.507,9.949,1
0.436,-0.167,0.787,25.513,-5.676,7.629,1
0.431,-0.163,0.781,21.179,-4.517,6.531,1
0.427,-0.164,0.802,16.541,-3.967,6.104,1
0.422,-0.162,0.819,12.634,-3.601,5.554,1
0.419,-0.157,0.835,10.315,-3.662,4.944,1
0.416,-0.146,0.844,8.972,-3.723,4.639,1
0.414,-0.131,0.851,8.24,-3.845,4.639,1
0.41,-0.11,0.854,7.874,-4.028,4.578,1
0.407,-0.092,0.858,7.08,-4.395,4.761,1
0.412,-0.081,0.863,5.798,-4.944,5.432,1
0.417,-0.076,0.861,4.822,-5.92,5.676,1
0.418,-0.067,0.856,3.296,-6.226,5.615,1
0.419,-0.057,0.856,1.221,-5.554,5.249,1
0.419,-0.049,0.87,-0.793,-4.761,5.31,1
0.419,-0.038,0.88,-2.808,-4.7,5.005,1
0.418,-0.032,0.892,-4.272,-4.883,5.127,1
0.422,-0.029,0.906,-5.432,-5.371,5.554,1
0.426,-0.026,0.918,-5.371,-6.226,5.798,1
0.428,-0.021,0.924,-4.578,-6.714,5.554,1
0.426,-0.014,0.926,-3.54,-7.08,5.127,1
0.423,-0.008,0.931,-2.502,-7.568,4.028,1
0.414,-0.001,0.937,-1.587,-7.812,2.991,1
0.405,0.007,0.94,-1.221,-7.324,2.502,1
0.397,0.005,0.94,-1.648,-6.531,1.831,1
0.391,0.003,0.95,-2.502,-5.432,1.526,1
0.387,0,0.951,-2.869,-4.578,1.77,1
0.389,-0.016,0.954,-3.296,-3.723,2.136,1
0.391,0,0.961,-3.662,-2.869,2.075,1
0.388,-0.02,0.951,-3.296,-2.197,2.197,1
0.389,-0.02,0.946,-3.052,-1.77,2.441,1
0.391,-0.025,0.942,-2.502,-1.831,3.113,1
0.395,-0.03,0.936,-2.014,-2.502,3.479,1
0.399,-0.032,0.928,-1.404,-2.991,3.662,1
0.402,-0.036,0.92,-1.038,-3.113,3.601,1
0.403,-0.039,0.908,-1.099,-3.357,3.357,1
0.406,-0.041,0.901,-1.709,-3.113,3.357,1
0.407,-0.045,0.903,-2.258,-2.808,3.296,1
0.403,-0.044,0.906,-2.869,-2.502,2.991,1
0.4,-0.042,0.912,-3.357,-2.38,2.747,1
0.396,-0.04,0.914,-3.54,-2.38,3.113,1
0.394,-0.036,0.911,-3.784,-2.869,3.479,1
0.394,-0.03,0.914,-4.395,-3.296,3.906,1
0.397,-0.035,0.919,-4.578,-3.662,4.089,1
0.397,-0.035,0.919,-4.578,-3.662,4.089,1
0.398,-0.033,0.922,-4.211,-3.662,4.089,2
2.256,-2.222,3.973,-496.155,42.786,11.475,2
0.607,-0.453,4,-219.543,336.853,18.86,2
0.669,0.808,1.674,-68.176,224.487,-116.455,2
-0.337,-0.229,0.47,-7.568,195.435,-21.301,2
-0.08,-0.418,1.234,47.058,99.854,3.906,2
-0.598,-0.133,0.434,83.618,-67.2,-21.973,2
-0.558,-0.484,-0.25,114.441,-157.593,1.16,2
-0.303,-0.552,0.011,111.389,-198.792,36.194,2
-0.021,-0.357,0.522,91.797,-177.979,48.584,2
0.208,-0.091,0.711,83.313,-123.84,36.56,2
0.263,0.109,0.87,76.233,-61.646,23.499,2
0.227,0.221,1.081,61.34,-8.789,9.949,2
0.259,0.247,1.256,45.532,16.296,5.31,2
0.354,0.224,1.349,32.104,14.465,10.803,2
0.494,0.22,1.341,23.621,0.732,17.029,2
0.614,0.209,1.244,17.517,-4.395,21.057,2
0.664,0.171,1.116,10.742,3.723,23.804,2
0.629,0.112,1.015,2.93,17.7,23.621,2
0.573,0.041,0.974,-2.075,27.527,23.01,2
0.53,0.001,0.913,-2.319,29.907,20.203,2
0.504,-0.003,0.854,-0.366,27.222,15.747,2
0.483,0.003,0.814,1.648,22.888,11.169,2
0.475,0.013,0.802,2.93,17.395,7.202,2
0.486,0.019,0.805,4.272,11.78,4.456,2
0.516,0.025,0.809,5.859,5.737,2.014,2
0.547,0.027,0.82,6.775,0.305,-0.916,2
0.555,0.03,0.831,7.202,-3.113,-3.418,2
0.553,0.032,0.842,6.287,-3.54,-5.249,2
0.546,0.039,0.86,4.211,-2.808,-6.409,2
0.526,0.041,0.89,2.38,-1.648,-7.019,2
0.5,0.041,0.909,1.343,-0.671,-6.836,2
0.467,0.042,0.926,0.977,-0.061,-5.859,2
0.441,0.046,0.94,0.671,0.366,-3.784,2
0.416,0.044,0.949,0.122,0,-1.953,2
0.403,0.048,0.97,-0.916,-0.244,0.122,2
0.382,0.046,0.974,-1.038,-0.488,1.587,2
0.369,0.047,0.963,-0.61,-0.549,1.953,2
0.359,0.037,0.953,-0.61,0,1.648,2
0.344,0.034,0.949,-1.099,0.183,1.16,2
0.349,0.036,0.943,-1.404,0.793,-0.122,2
0.345,0.022,0.933,-1.221,0.854,-0.854,2
0.353,0.033,0.923,-0.977,0.549,-0.793,2
0.37,0.04,0.918,-0.671,-0.122,0.183,2
0.35,0.021,0.905,-0.305,-1.953,1.831,2
0.37,0.036,0.918,0.183,-3.418,3.784,2
0.356,0.06,0.937,1.77,-5.371,6.348,2
0.349,0.074,0.948,4.761,-8.362,8.728,2
0.309,0.094,0.97,7.935,-11.719,12.207,2
0.249,0.096,0.989,12.268,-14.893,17.7,2
0.202,0.12,1.023,15.991,-18.188,24.109,2
0.173,0.164,1.079,19.836,-22.4,30.701,2
0.178,0.223,1.135,24.231,-25.757,36.072,2
0.227,0.285,1.153,28.992,-28.076,38.452,2
0.283,0.319,1.133,32.043,-27.954,38.025,2
0.333,0.314,1.092,33.081,-22.156,36.682,2
0.389,0.298,1.058,32.288,-11.475,34.302,2
0.424,0.276,1.024,31.372,-0.061,30.273,2
0.443,0.249,0.995,30.823,10.986,25.696,2
0.449,0.222,0.967,30.212,18.616,21.729,2
0.458,0.179,0.937,28.748,21.484,19.653,2
0.447,0.125,0.911,26.672,20.203,19.409,2
0.448,0.059,0.906,24.353,16.724,21.179,2
0.458,-0.009,0.911,22.583,11.597,24.109,2
0.471,-0.074,0.913,23.499,6.165,26.855,2
0.492,-0.112,0.903,26.245,1.831,29.053,2
0.5,-0.144,0.877,29.663,-1.831,30.457,2
0.51,-0.163,0.844,31.677,-4.883,31.006,2
0.516,-0.18,0.814,31.311,-8.301,30.518,2
0.524,-0.196,0.805,28.992,-11.169,29.419,2
0.536,-0.217,0.8,25.757,-13.733,27.1,2
0.53,-0.229,0.796,22.583,-15.93,23.987,2
0.521,-0.239,0.787,19.775,-16.418,20.752,2
0.509,-0.239,0.784,16.418,-16.418,17.944,2
0.5,-0.232,0.79,12.878,-16.113,15.076,2
0.471,-0.216,0.794,9.338,-16.235,12.756,2
0.459,-0.218,0.801,5.31,-16.479,10.376,2
0.442,-0.213,0.81,1.953,-16.479,8.24,2
0.438,-0.209,0.813,-0.244,-15.564,6.409,2
0.408,-0.197,0.818,-2.014,-14.465,4.456,2
0.4,-0.181,0.832,-3.296,-12.146,2.502,2
0.375,-0.15,0.852,-4.089,-10.742,0.061,2
0.348,-0.116,0.865,-4.761,-10.62,-0.854,2
0.325,-0.086,0.883,-5.371,-11.414,-0.671,2
0.309,-0.057,0.899,-6.104,-12.817,0.244,2
0.285,-0.023,0.92,-7.08,-15.198,1.953,2
0.284,-0.009,0.935,-7.69,-16.846,3.967,2
0.285,0.004,0.955,-7.935,-17.7,5.981,2
0.288,0.023,0.966,-7.629,-17.7,7.141,2
0.299,0.036,0.965,-7.263,-16.663,7.751,2
0.308,0.046,0.962,-7.202,-14.587,7.69,2
0.314,0.049,0.971,-7.446,-11.169,7.08,2
0.326,0.051,0.976,-7.385,-7.324,5.737,2
0.336,0.044,0.989,-7.08,-4.272,4.028,2
0.337,0.043,0.988,-5.981,-2.014,2.563,2
