aX,aY,aZ,gX,gY,gZ,sample
0.988,-1.862,-0.922,696.533,55.908,-22.034,1
-1.118,-3.425,2.215,599.548,158.691,79.834,1
-0.667,-3.334,2.118,278.137,73.181,83.801,1
-0.375,-1.944,1.24,47.302,33.264,44.25,1
-0.514,-0.998,0.732,-109.558,-3.601,-4.395,1
-0.571,-0.574,0.463,-209.351,-13.855,-31.372,1
-0.521,-0.529,0.393,-246.216,-34.668,-44.8,1
-0.43,-0.58,0.404,-245.056,-53.589,-45.776,1
-0.383,-0.562,0.343,-229.065,-41.565,-30.823,1
-0.444,-0.453,0.202,-192.2,-21.912,-7.629,1
-0.614,-0.331,0.183,-138.062,-9.277,15.32,1
-0.667,-0.353,0.344,-85.205,0.305,23.254,1
-0.504,-0.516,0.485,-47.668,11.719,10.986,1
-0.35,-0.606,0.38,-27.527,20.935,-10.986,1
-0.212,-0.665,0.281,-5.188,34.607,-43.213,1
-0.078,-0.813,0.258,17.029,40.771,-77.087,1
-0.117,-0.884,0.253,25.208,34.363,-97.473,1
-0.073,-0.973,0.349,28.259,11.047,-113.159,1
-0.008,-1.155,0.456,28.198,-5.127,-111.45,1
0.037,-1.292,0.509,24.353,2.197,-82.947,1
0.083,-1.339,0.477,21.667,19.531,-42.603,1
0.155,-1.302,0.389,23.56,39.124,-3.296,1
0.185,-1.209,0.332,32.593,55.969,32.288,1
0.167,-1.131,0.305,42.969,68.909,59.326,1
0.155,-1.08,0.327,48.401,76.782,71.838,1
0.13,-1.057,0.391,45.471,76.294,71.655,1
0.097,-1.021,0.439,35.889,71.716,62.561,1
0.068,-0.974,0.451,21.851,70.068,48.645,1
0.059,-0.909,0.461,7.69,67.81,34.18,1
0.062,-0.838,0.494,-3.54,64.697,20.935,1
0.096,-0.777,0.508,-14.404,66.223,9.277,1
0.164,-0.694,0.491,-23.437,67.078,2.258,1
0.168,-0.618,0.501,-26.367,65.43,1.099,1
0.186,-0.55,0.516,-20.264,65.674,4.822,1
0.202,-0.529,0.557,-9.583,67.2,9.766,1
0.211,-0.53,0.61,0.61,67.688,14.221,1
0.214,-0.548,0.646,7.935,67.627,17.212,1
0.208,-0.554,0.705,10.864,65.918,15.869,1
0.204,-0.555,0.745,7.568,59.814,6.775,1
0.205,-0.536,0.75,1.343,51.758,-5.798,1
0.217,-0.516,0.755,-1.892,43.579,-16.418,1
0.226,-0.526,0.751,-2.686,37.048,-22.461,1
0.229,-0.563,0.757,-0.854,32.471,-22.766,1
0.24,-0.616,0.765,2.625,30.029,-19.165,1
0.24,-0.669,0.777,5.127,27.588,-13.245,1
0.228,-0.714,0.779,5.432,26.123,-6.592,1
0.224,-0.778,0.766,3.784,24.658,-0.488,1
0.201,-0.835,0.779,1.465,20.935,3.967,1
0.176,-0.866,0.779,-0.549,16.235,7.019,1
0.166,-0.879,0.749,-2.93,12.329,7.385,1
0.159,-0.881,0.709,-5.676,7.324,5.066,1
0.154,-0.873,0.676,-7.08,2.136,1.099,1
0.162,-0.866,0.654,-7.69,-2.014,-3.845,1
0.178,-0.874,0.632,-8.484,-5.188,-7.751,1
0.192,-0.89,0.618,-8.911,-6.348,-8.606,1
0.203,-0.905,0.601,-8.24,-5.249,-5.493,1
0.203,-0.904,0.598,-7.202,-3.845,0.122,1
0.21,-0.916,0.585,-6.47,-2.319,7.385,1
0.195,-0.904,0.57,-7.141,-1.404,16.113,1
0.155,-0.867,0.57,-8.179,-1.77,23.682,1
0.124,-0.826,0.562,-10.193,-2.014,26.184,1
0.104,-0.782,0.535,-12.939,-3.357,22.095,1
0.083,-0.755,0.5,-15.32,-6.653,13.062,1
0.062,-0.733,0.469,-14.343,-9.094,2.502,1
0.057,-0.738,0.473,-10.193,-10.071,-7.751,1
0.057,-0.752,0.489,-4.272,-7.935,-16.602,1
0.057,-0.769,0.516,1.587,-4.028,-22.888,1
0.07,-0.8,0.523,4.517,0,-25.696,1
0.064,-0.823,0.557,6.165,3.418,-23.621,1
0.048,-0.83,0.583,5.554,6.47,-16.052,1
0.028,-0.81,0.59,1.343,9.277,-8.301,1
0.021,-0.795,0.571,-3.784,13.306,-4.15,1
0.033,-0.777,0.543,-6.592,14.771,-0.366,1
0.038,-0.754,0.526,-6.836,13.489,3.479,1
0.043,-0.744,0.526,-5.676,12.146,6.653,1
0.041,-0.726,0.539,-4.15,13.489,6.958,1
0.038,-0.708,0.54,-2.563,12.695,2.319,1
0.06,-0.722,0.541,-2.38,11.536,-6.042,1
0.072,-0.757,0.574,-2.563,11.475,-14.099,1
0.101,-0.797,0.569,-2.319,11.108,-18.921,1
0.151,-0.847,0.555,-0.61,8.667,-18.921,1
0.185,-0.88,0.56,2.991,6.836,-13.062,1
0.184,-0.887,0.569,5.676,4.456,-3.418,1
0.164,-0.863,0.597,7.69,0.732,7.385,1
0.148,-0.831,0.584,7.874,-1.282,15.259,1
0.133,-0.821,0.587,7.324,-0.793,18.433,1
0.089,-0.84,0.612,6.348,0.549,19.531,1
0.094,-0.871,0.603,1.831,0.977,17.578,1
0.098,-0.897,0.548,-3.113,-4.089,13.794,1
0.085,-0.871,0.541,-3.662,-9.705,6.836,1
0.069,-0.861,0.53,-1.648,-13.245,-4.517,1
0.087,-0.891,0.523,2.075,-14.771,-14.404,1
0.113,-0.926,0.539,5.31,-15.137,-22.4,1
0.11,-0.942,0.594,5.127,-16.541,-30.151,1
0.104,-0.96,0.617,-0.122,-17.944,-36.377,1
0.11,-0.955,0.592,-6.409,-18.677,-39.612,1
0.105,-0.926,0.568,-9.277,-18.982,-39.673,1
0.097,-0.892,0.541,-8.423,-17.883,-36.377,1
0.082,-0.876,0.555,-3.845,-16.663,-30.457,1
0.046,-0.87,0.576,-0.244,-14.832,-25.269,1
0.026,-0.852,0.574,1.099,-13.794,-24.963,1
0.013,-0.83,0.566,1.221,-13.367,-28.931,1
0.016,-0.821,0.56,2.319,-12.756,-35.095,1
0.033,-0.803,0.565,4.639,-12.146,-43.091,1
0.012,-0.76,0.564,8.85,-10.132,-53.528,1
-0.005,-0.74,0.574,14.709,-6.47,-64.819,1
-0.008,-0.722,0.6,22.156,-4.028,-73.059,1
-0.013,-0.726,0.62,29.358,-2.625,-74.402,1
0.009,-0.734,0.629,36.743,-1.831,-68.237,1
0.007,-0.74,0.669,43.579,-0.977,-55.786,1
-0.001,-0.723,0.673,49.377,1.587,-39.49,1
-0.027,-0.667,0.65,55.969,4.639,-24.048,1
0.037,-0.734,0.624,63.538,4.272,-7.446,1
0.012,-0.777,0.686,67.322,-2.747,2.563,1
0,-0.794,0.813,71.655,-1.221,-0.183,1
0.028,-0.786,0.812,67.017,-2.197,-0.122,1
0.063,-0.733,0.78,59.875,-4.517,1.099,1
0.098,-0.661,0.724,57.068,-8.911,4.456,1
0.161,-0.58,0.69,62.5,-10.559,12.085,1
2.261,-4,0.226,142.517,-272.644,-9.216,2
-3.44,-4,1.965,393.677,22.034,307.617,2
-1.414,-4,1.301,39.49,87.219,203.369,2
-1.894,-0.539,-1.156,-252.441,-41.016,14.404,2
-1.42,0.134,0.12,-190.796,-118.103,-50.415,2
-0.802,-0.607,0.05,-122.009,-56.702,-26.306,2
-0.595,-0.366,0.041,-117.249,-15.381,-45.044,2
-0.518,-0.364,-0.419,-121.887,-8.179,-56.396,2
-0.665,-0.253,-0.476,-84.229,15.808,-38.696,2
-0.79,-0.302,-0.163,-32.837,32.715,-8.179,2
-0.69,-0.402,0,-7.629,55.786,13.672,2
-0.48,-0.427,-0.048,1.831,85.144,11.902,2
-0.194,-0.532,-0.084,5.859,100.342,-11.841,2
0.066,-0.73,-0.047,9.949,107.422,-39.124,2
0.297,-0.882,0.064,11.719,110.046,-52.307,2
0.396,-0.955,0.121,6.775,107.117,-49.377,2
0.457,-0.96,0.102,-7.385,98.877,-40.527,2
0.492,-0.94,0.101,-19.287,88.806,-32.654,2
0.521,-0.919,0.138,-24.048,81.116,-24.353,2
0.511,-0.908,0.195,-25.513,73.669,-13.428,2
0.443,-0.881,0.242,-26.611,63.354,-0.122,2
0.36,-0.869,0.264,-23.193,54.81,13.55,2
0.277,-0.859,0.308,-15.747,53.223,23.315,2
0.21,-0.846,0.356,-9.827,55.176,28.992,2
0.147,-0.866,0.42,-7.263,58.105,29.114,2
0.116,-0.94,0.491,-11.108,58.044,23.254,2
0.108,-1.034,0.544,-21.667,55.115,11.23,2
0.122,-1.118,0.594,-36.865,50.537,-2.075,2
0.115,-1.164,0.573,-51.025,46.387,-12.573,2
0.114,-1.203,0.585,-61.096,40.894,-24.048,2
0.16,-1.208,0.552,-66.833,37.903,-26.672,2
0.228,-1.141,0.459,-62.927,43.945,-16.846,2
0.268,-1.11,0.477,-49.377,43.945,-4.211,2
0.279,-1.094,0.504,-35.339,42.358,10.193,2
0.289,-1.027,0.535,-25.452,45.166,21.179,2
0.272,-0.97,0.561,-20.813,42.542,27.405,2
0.239,-0.933,0.575,-21.484,40.222,28.625,2
0.233,-0.939,0.598,-27.771,35.706,21.912,2
0.24,-0.968,0.631,-38.452,25.391,9.094,2
0.239,-0.989,0.65,-50.171,15.015,-3.357,2
0.216,-0.992,0.626,-61.34,7.019,-11.353,2
0.216,-1.002,0.599,-67.932,2.686,-14.282,2
0.202,-0.986,0.568,-67.078,1.465,-10.803,2
0.22,-0.929,0.537,-62.195,0.427,-3.479,2
0.174,-0.831,0.543,-56.03,1.343,5.371,2
0.148,-0.772,0.475,-54.077,7.996,14.343,2
0.117,-0.677,0.483,-41.992,6.714,23.071,2
0.121,-0.665,0.513,-27.222,2.563,22.583,2
0.104,-0.643,0.5,-21.851,3.418,16.418,2
0.087,-0.649,0.501,-20.142,-0.61,3.967,2
0.079,-0.676,0.488,-20.02,-6.042,-10.62,2
0.077,-0.714,0.481,-18.494,-10.254,-22.278,2
0.093,-0.762,0.482,-16.907,-13.306,-30.029,2
0.116,-0.803,0.468,-14.526,-14.282,-31.311,2
0.13,-0.846,0.469,-11.108,-13.611,-24.231,2
0.119,-0.869,0.463,-7.385,-11.963,-11.047,2
0.106,-0.868,0.454,-3.418,-9.827,3.601,2
0.077,-0.864,0.455,0.61,-6.47,17.7,2
0.043,-0.851,0.458,4.395,-2.991,29.358,2
0.007,-0.837,0.472,5.493,-0.977,34.424,2
-0.008,-0.823,0.469,3.174,0.793,31.311,2
0,-0.822,0.465,-1.099,2.563,21.729,2
0.023,-0.855,0.471,-7.019,2.93,10.01,2
0.038,-0.875,0.488,-13.977,2.563,0.793,2
0.066,-0.881,0.475,-21.057,2.441,-5.005,2
0.089,-0.862,0.466,-25.513,2.38,-4.883,2
0.109,-0.834,0.467,-26.55,3.479,1.709,2
0.121,-0.795,0.477,-25.085,5.493,10.254,2
0.116,-0.752,0.482,-21.545,7.629,18.555,2
0.099,-0.715,0.495,-17.212,10.132,24.414,2
0.084,-0.699,0.5,-14.221,12.451,25.818,2
0.077,-0.712,0.517,-13.855,13.062,21.667,2
0.067,-0.735,0.55,-16.663,10.742,12.146,2
0.073,-0.752,0.55,-23.621,6.958,-0.549,2
0.092,-0.753,0.51,-30.518,3.296,-12.024,2
0.115,-0.73,0.515,-32.227,1.404,-20.935,2
0.216,-0.783,0.558,-32.959,7.507,-26.978,2
0.096,-0.75,0.411,-29.419,16.296,-23.071,2
