aX,aY,aZ,gX,gY,gZ,sample
-0.369,-0.928,1.261,39.612,-99.06,-117.004,1
-0.349,-0.949,1.362,33.386,-91.125,-119.69,1
-0.306,-0.964,1.425,23.987,-82.214,-116.333,1
-0.26,-0.969,1.469,17.7,-70.557,-111.694,1
-0.19,-0.918,1.468,17.09,-54.077,-108.276,1
-0.079,-0.86,1.429,20.569,-37.476,-108.154,1
0.035,-0.775,1.334,22.583,-20.508,-106.384,1
0.133,-0.688,1.219,23.865,-4.883,-101.135,1
0.192,-0.638,1.119,23.193,7.08,-91.309,1
0.214,-0.613,1.082,18.433,10.803,-76.904,1
0.211,-0.567,1.071,12.634,5.859,-60.73,1
0.187,-0.49,1.08,8.606,0.061,-45.41,1
0.133,-0.406,1.102,4.578,-0.61,-31.555,1
0.062,-0.331,1.103,-2.38,2.808,-19.226,1
-0.017,-0.281,1.066,-11.658,6.897,-8.118,1
-0.072,-0.278,1.018,-21.24,9.766,-0.854,1
-0.096,-0.309,0.95,-28.992,7.263,4.272,1
-0.096,-0.322,0.885,-30.884,1.099,7.202,1
-0.081,-0.314,0.847,-26.855,-3.967,9.277,1
-0.076,-0.298,0.846,-20.813,-5.31,12.39,1
-0.097,-0.296,0.873,-15.869,-2.808,16.479,1
-0.121,-0.286,0.892,-11.963,2.136,20.691,1
-0.128,-0.29,0.937,-9.521,8.667,24.292,1
-0.134,-0.279,0.932,-8.179,13.489,26.123,1
-0.123,-0.271,0.937,-6.958,18.311,27.649,1
-0.096,-0.269,0.951,-6.653,23.254,30.64,1
-0.085,-0.27,0.938,-8.057,26.917,34.18,1
-0.095,-0.292,0.942,-9.949,29.602,38.94,1
-0.114,-0.306,0.938,-10.315,30.701,43.152,1
-0.115,-0.35,0.969,-10.62,31.372,46.448,1
-0.127,-0.356,0.963,-12.817,29.358,47.791,1
-0.104,-0.355,0.95,-15.808,26.489,48.645,1
-0.074,-0.333,0.917,-17.578,26.062,50.354,1
-0.057,-0.303,0.898,-17.09,28.564,52.856,1
-0.047,-0.263,0.883,-16.296,32.104,54.443,1
-0.04,-0.222,0.876,-15.625,32.715,55.786,1
-0.062,-0.213,0.875,-16.418,28.748,57.678,1
-0.093,-0.245,0.888,-16.968,21.973,57.983,1
-0.098,-0.252,0.904,-14.343,13.367,55.237,1
-0.076,-0.216,0.92,-10.071,5.981,51.27,1
-0.043,-0.172,0.948,-6.897,2.869,48.828,1
0.002,-0.084,0.95,-5.31,5.188,47.913,1
0.025,0.001,0.938,-4.15,11.169,47.668,1
0.025,0.063,0.931,-2.136,16.785,46.631,1
0.014,0.093,0.945,-0.244,18.005,43.762,1
0.005,0.102,0.952,-0.122,14.404,39.917,1
0.001,0.071,0.96,-0.916,7.874,35.645,1
0.007,0.003,0.967,-0.183,0.793,31.555,1
0.024,-0.058,0.994,2.502,-4.272,27.649,1
0.053,-0.106,1.02,5.249,-6.47,24.292,1
0.114,-0.089,1.022,6.836,-6.958,22.4,1
0.169,-0.043,1.027,7.69,-6.226,23.193,1
0.196,0.004,1.036,8.057,-3.601,26.611,1
0.185,0.024,1.04,6.714,-0.916,30.09,1
0.152,0.024,1.04,4.211,-0.671,32.715,1
0.117,0,1.057,1.709,-2.93,33.997,1
0.09,-0.043,1.087,-1.221,-6.348,34.851,1
0.057,-0.101,1.116,-5.188,-8.85,34.851,1
0.027,-0.157,1.118,-9.583,-9.033,33.569,1
0.019,-0.187,1.098,-11.292,-7.202,31.006,1
0.047,-0.156,1.07,-10.925,-4.883,28.809,1
0.08,-0.079,1.059,-7.874,-2.258,28.381,1
0.093,-0.011,1.042,-4.15,0.427,29.358,1
0.084,0.047,1.027,-3.601,2.747,31.738,1
0.072,0.027,1.052,-5.005,3.113,34.851,1
0.056,0.015,1.04,-7.629,0,36.56,1
0.031,-0.007,1.051,-9.521,-2.686,37.109,1
-0.008,-0.058,1.073,-10.559,-3.357,37.415,1
-0.041,-0.103,1.079,-10.681,-2.808,35.156,1
-0.059,-0.149,1.101,-10.315,-0.854,31.067,1
-0.056,-0.17,1.1,-9.521,0.305,25.757,1
-0.038,-0.16,1.09,-10.559,3.052,21.973,1
0.009,-0.127,1.064,-11.841,6.714,20.264,1
0.021,-0.097,1.042,-12.085,10.62,20.142,1
0.02,-0.076,1.011,-11.963,13.489,21.118,1
0.006,-0.07,0.998,-12.451,15.93,22.461,1
-0.009,-0.083,0.992,-14.343,16.479,23.437,1
-0.028,-0.101,0.991,-18.433,14.221,23.315,1
-0.028,-0.105,0.982,-22.217,11.902,21.912,1
-0.028,-0.104,0.976,-23.865,12.756,21.057,1
-0.013,-0.095,0.955,-22.827,17.883,19.714,1
-0.043,-0.098,0.952,-19.958,24.048,15.808,1
-0.031,-0.071,0.937,-17.883,26.917,11.719,1
0.011,-0.064,0.938,-16.907,25.574,8.972,1
0.033,-0.026,0.926,-17.09,23.132,7.935,1
0.075,-0.025,0.939,-16.418,21.912,8.972,1
0.076,-0.032,0.957,-17.273,23.437,11.658,1
0.08,-0.015,0.954,-18.494,25.757,14.954,1
0.072,0,0.959,-20.081,29.175,17.578,1
0.063,0.025,0.964,-21.973,33.936,20.142,1
0.055,0.074,0.942,-23.376,38.635,21.484,1
0.033,0.12,0.898,-23.987,42.114,20.386,1
0.021,0.165,0.866,-23.56,43.518,17.578,1
0.019,0.196,0.839,-21.545,41.87,14.771,1
0.034,0.219,0.813,-17.456,37.964,12.024,1
0.053,0.232,0.815,-11.536,36.011,9.705,1
0.076,0.24,0.83,-6.287,35.706,8.972,1
0.09,0.227,0.859,-4.211,36.011,9.521,1
0.095,0.231,0.87,-4.456,37.109,9.644,1
0.094,0.24,0.879,-5.432,38.269,9.827,1
0.111,0.261,0.89,-7.69,38.696,10.254,1
0.123,0.286,0.891,-11.047,37.964,12.207,1
0.123,0.306,0.869,-14.282,37.781,13.184,1
0.106,0.292,0.83,-14.893,37.659,12.695,1
0.102,0.281,0.801,-11.78,34.973,10.681,1
0.118,0.274,0.792,-5.554,30.273,6.775,1
0.146,0.266,0.807,0.916,25.269,2.625,1
0.174,0.252,0.838,6.592,19.592,0.061,1
0.208,0.247,0.881,10.193,15.198,-0.427,1
0.231,0.244,0.918,12.451,13.245,1.587,1
0.249,0.245,0.961,13.855,14.587,5.371,1
0.239,0.238,0.982,13.611,18.311,9.949,1
0.222,0.22,0.995,11.108,21.912,14.343,1
0.204,0.183,1,7.69,22.4,17.578,1
0.177,0.171,0.99,6.714,19.47,17.517,1
0.182,0.161,0.996,7.568,15.93,15.32,1
0.206,0.161,1.008,7.812,12.268,11.719,1
0.225,0.176,1.008,7.263,9.583,8.057,1
0.229,0.181,1.005,5.798,7.446,7.324,1
0.774,-1.328,2.033,240.967,36.621,67.261,2
0.393,-0.609,1.713,228.333,272.583,43.518,2
-0.033,-0.363,0.886,121.338,219.421,48.035,2
0.118,-0.134,0.859,40.833,109.375,40.344,2
0.32,-0.193,0.821,-17.273,29.663,12.878,2
0.402,-0.352,0.572,-65.674,-49.561,9.46,2
0.441,-0.371,0.514,-76.965,-83.679,3.54,2
0.416,-0.34,0.599,-70.435,-85.388,1.16,2
0.297,-0.339,0.694,-63.11,-72.388,2.441,2
0.18,-0.324,0.696,-54.26,-57.434,4.761,2
0.095,-0.345,0.757,-41.87,-43.274,4.639,2
0.085,-0.337,0.802,-28.625,-30.762,1.77,2
0.089,-0.337,0.839,-18.005,-20.508,-2.563,2
0.096,-0.352,0.875,-10.742,-13.245,-9.094,2
0.178,-0.416,0.915,-6.653,-10.498,-15.137,2
0.264,-0.497,0.943,-7.263,-9.033,-19.775,2
0.348,-0.549,0.984,-11.292,-8.85,-22.4,2
0.409,-0.589,0.996,-17.517,-12.512,-21.973,2
0.462,-0.623,0.998,-25.146,-15.747,-19.592,2
0.477,-0.645,0.97,-29.053,-17.395,-17.334,2
0.515,-0.646,0.962,-27.222,-13.55,-13.916,2
0.519,-0.635,0.964,-21.79,-7.08,-7.324,2
0.487,-0.632,0.963,-16.785,-0.488,-0.671,2
0.459,-0.587,0.949,-12.756,5.92,5.493,2
0.42,-0.548,0.943,-10.864,8.606,9.888,2
0.375,-0.499,0.934,-11.047,9.46,11.902,2
0.309,-0.463,0.926,-11.841,9.888,11.108,2
0.283,-0.414,0.906,-12.939,9.399,9.033,2
0.263,-0.358,0.907,-14.587,7.996,7.629,2
0.232,-0.306,0.884,-16.968,7.019,5.981,2
0.224,-0.313,0.93,-19.348,9.46,4.456,2
0.217,-0.258,0.876,-20.752,7.019,0.122,2
0.262,-0.215,0.882,-22.156,4.639,-4.211,2
0.287,-0.23,0.9,-24.963,3.357,-5.005,2
0.308,-0.217,0.879,-27.832,2.625,-4.395,2
