aX,aY,aZ,gX,gY,gZ,sample
0.292,-1.228,-1.788,76.355,-50.903,-66.101,0
0.293,-1.657,-1.972,89.844,-72.510,-73.120,0
0.284,-2.022,-2.062,94.482,-92.163,-72.449,0
0.249,-2.283,-2.056,91.614,-105.896,-65.002,0
0.197,-2.435,-1.970,85.144,-115.051,-50.415,0
0.110,-2.495,-1.837,75.684,-122.803,-29.175,0
0.002,-2.437,-1.658,60.974,-129.822,-11.047,0
-0.176,-2.250,-1.398,39.246,-136.536,1.770,0
-0.381,-2.066,-1.115,13.123,-138.611,16.174,0
-0.648,-1.828,-0.825,-13.550,-133.057,36.987,0
-0.911,-1.512,-0.542,-37.170,-127.441,67.627,0
-1.193,-1.057,-0.212,-61.340,-115.601,111.511,0
-1.349,-0.640,0.151,-85.571,-82.886,172.974,0
-1.351,-0.023,0.421,-95.825,-34.546,236.938,0
-1.314,0.942,0.658,-85.083,9.033,282.715,0
-1.145,1.937,0.842,-50.293,31.433,305.725,0
-0.740,2.647,0.825,10.193,35.767,311.646,0
-0.561,3.428,0.613,74.219,50.049,287.292,0
-0.453,4.000,0.241,129.028,74.158,227.783,0
-0.304,4.000,-0.402,195.557,74.158,163.269,0
-0.247,4.000,-0.959,243.713,30.518,103.149,0
-0.275,3.834,-1.199,240.479,-28.137,55.298,0
-0.226,3.502,-1.259,194.397,-64.331,34.912,0
-0.100,3.152,-1.181,129.761,-73.547,41.748,0
0.067,2.835,-0.993,65.430,-74.646,49.500,0
0.490,2.531,-0.732,18.799,-78.613,47.485,0
0.321,2.205,-0.532,-6.226,-83.557,36.316,0
0.399,1.836,-0.310,-23.682,-92.163,3.052,0
0.374,1.512,-0.198,-18.799,-96.191,-5.981,0
0.225,1.297,-0.183,-12.939,-77.087,-17.456,0
0.198,1.060,-0.207,-13.489,-45.776,-34.668,0
0.097,0.929,-0.262,-10.193,-19.592,-39.673,0
-0.004,0.877,-0.349,-1.648,-4.944,-31.433,0
-0.032,0.793,-0.473,9.827,8.423,-22.888,0
-0.053,0.788,-0.578,15.869,20.386,-15.259,0
-0.136,0.802,-0.650,21.179,24.658,-1.526,0
-0.099,0.813,-0.717,23.193,29.297,6.653,0
-0.089,0.829,-0.742,21.423,33.997,7.996,0
-0.063,0.822,-0.771,22.888,32.837,10.010,0
-0.016,0.803,-0.783,22.644,30.762,11.108,0
-0.019,0.795,-0.768,20.142,29.480,10.864,0
-0.004,0.781,-0.741,17.822,28.809,12.695,0
0.005,0.781,-0.717,17.151,29.419,14.404,0
0.015,0.800,-0.681,15.869,31.982,16.357,0
0.046,0.839,-0.676,15.442,34.973,18.677,0
0.067,0.884,-0.706,16.418,40.222,18.372,0
0.084,0.899,-0.740,17.578,43.335,14.893,0
0.094,0.880,-0.767,19.531,39.795,9.338,0
0.096,0.860,-0.777,20.264,33.508,3.601,0
0.073,0.851,-0.760,17.517,29.602,-1.770,0
0.072,0.816,-0.747,13.184,29.114,-5.920,0
0.086,0.773,-0.744,9.949,29.846,-9.277,0
0.090,0.747,-0.726,7.080,29.419,-9.583,0
0.101,0.729,-0.712,2.869,28.198,-8.301,0
0.105,0.732,-0.700,-2.747,29.236,-6.592,0
0.101,0.734,-0.681,-7.629,29.602,-4.761,0
0.117,0.733,-0.673,-8.057,27.283,-3.967,0
0.125,0.735,-0.683,-6.958,26.001,-4.150,0
0.152,0.728,-0.705,-4.761,24.902,-5.981,0
0.139,0.687,-0.739,-1.953,21.301,-8.362,0
0.151,0.671,-0.747,-2.136,17.090,-9.216,0
0.144,0.663,-0.715,-5.615,15.015,-9.644,0
0.160,0.661,-0.700,-7.996,15.564,-9.521,0
0.179,0.647,-0.723,-9.583,16.479,-10.742,0
0.192,0.629,-0.762,-11.169,18.616,-13.123,0
0.206,0.621,-0.777,-14.160,17.395,-16.602,0
0.186,0.632,-0.775,-16.968,11.780,-20.874,0
0.177,0.628,-0.763,-18.982,11.597,-23.132,0
0.175,0.611,-0.760,-20.691,12.817,-23.621,0
0.161,0.605,-0.747,-24.719,14.404,-23.010,0
0.174,0.597,-0.735,-28.992,16.602,-23.682,0
0.170,0.577,-0.734,-29.907,18.311,-24.170,0
0.158,0.559,-0.742,-28.442,18.921,-24.292,0
0.138,0.537,-0.750,-25.757,17.944,-24.475,0
0.111,0.530,-0.758,-23.193,15.686,-22.644,0
0.107,0.526,-0.767,-25.452,13.550,-19.348,0
0.122,0.531,-0.785,-30.334,14.282,-14.771,0
0.143,0.548,-0.804,-37.476,16.479,-11.475,0
0.165,0.582,-0.818,-45.837,16.479,-11.597,0
0.176,0.615,-0.805,-52.246,13.916,-13.550,0
0.193,0.599,-0.790,-53.894,10.132,-15.930,0
0.190,0.555,-0.778,-51.697,7.874,-18.433,0
0.185,0.521,-0.773,-50.171,8.179,-21.545,0
0.185,0.470,-0.798,-48.706,10.498,-25.208,0
0.189,0.426,-0.821,-47.302,12.634,-27.222,0
0.172,0.429,-0.824,-47.485,13.123,-28.503,0
0.169,0.403,-0.832,-46.204,13.367,-28.259,0
0.161,0.367,-0.853,-42.847,13.062,-25.635,0
0.145,0.364,-0.866,-42.053,12.878,-23.071,0
0.130,0.361,-0.888,-42.847,13.611,-21.973,0
0.119,0.334,-0.917,-41.992,14.404,-21.240,0
0.114,0.310,-0.944,-42.053,13.184,-19.104,0
0.118,0.304,-0.951,-44.800,10.742,-16.846,0
0.125,0.310,-0.945,-49.622,9.460,-15.808,0
0.143,0.309,-0.930,-53.345,9.277,-15.015,0
0.160,0.307,-0.915,-53.650,9.705,-13.733,0
0.158,0.326,-0.897,-52.795,9.521,-14.404,0
0.157,0.318,-0.896,-49.255,9.399,-16.907,0
0.154,0.312,-0.902,-45.410,9.155,-19.653,0
0.152,0.297,-0.924,-42.664,9.094,-22.705,0
0.133,0.294,-0.940,-40.649,8.118,-25.146,0
0.112,0.290,-0.949,-39.978,6.836,-26.733,0
0.094,0.284,-0.956,-38.208,5.676,-26.855,0
0.094,0.246,-0.961,-36.011,3.784,-24.780,0
0.089,0.248,-0.943,-36.133,2.380,-22.644,0
0.102,0.251,-0.930,-37.476,3.235,-21.973,0
0.123,0.255,-0.929,-36.682,4.272,-21.912,0
0.140,0.260,-0.932,-34.912,4.944,-23.010,0
0.151,0.252,-0.944,-31.738,5.493,-25.757,0
0.155,0.252,-0.948,-29.297,6.042,-29.236,0
0.152,0.231,-0.972,-27.649,7.202,-32.288,0
0.120,0.211,-1.007,-27.283,8.423,-34.668,0
0.095,0.191,-1.034,-29.053,8.728,-36.255,0
0.084,0.159,-1.046,-31.799,7.874,-34.973,0
0.080,0.150,-1.032,-35.400,6.165,-30.701,0
0.081,0.146,-0.998,-37.720,4.456,-26.001,0
0.102,0.131,-0.979,-35.278,3.357,-21.484,0
0.123,0.115,-0.975,-30.457,2.686,-18.250,0
0.131,0.097,-0.970,-25.635,1.465,-16.846,0
0.448,-1.323,-1.552,47.546,-53.162,-66.528,1
0.404,-1.620,-1.601,67.810,-67.505,-67.871,1
0.309,-1.859,-1.603,89.722,-81.299,-66.162,1
0.171,-1.988,-1.562,109.924,-92.346,-59.753,1
0.005,-2.021,-1.485,125.977,-98.633,-44.128,1
-0.166,-1.945,-1.395,132.385,-100.952,-22.522,1
-0.331,-1.810,-1.292,133.057,-102.417,3.662,1
-0.477,-1.639,-1.176,128.235,-102.295,31.677,1
-0.610,-1.403,-1.040,115.356,-100.891,59.937,1
-0.710,-1.170,-0.868,98.389,-99.060,91.187,1
-0.840,-0.837,-0.654,74.402,-96.191,127.075,1
-0.993,-0.325,-0.395,35.828,-85.571,166.321,1
-0.990,0.189,-0.146,-8.606,-61.096,211.365,1
-0.878,0.751,-0.020,-42.969,-21.240,260.559,1
-0.779,1.433,0.079,-66.101,17.578,294.189,1
-0.582,2.115,0.121,-77.454,31.921,299.072,1
-0.303,2.425,0.016,-54.626,22.278,290.039,1
-0.232,2.626,-0.024,-17.761,-2.136,260.986,1
-0.414,2.998,0.101,-0.916,-31.006,212.341,1
-0.493,3.215,0.150,22.156,-50.720,163.940,1
-0.440,3.126,0.049,58.533,-56.641,133.423,1
-0.380,2.937,-0.129,92.224,-48.889,110.229,1
-0.289,2.833,-0.271,107.300,-37.354,86.182,1
-0.105,2.641,-0.454,111.511,-27.405,69.092,1
0.113,2.487,-0.622,103.760,-20.935,49.194,1
0.276,2.306,-0.736,86.182,-19.531,32.166,1
0.408,2.071,-0.780,64.941,-25.513,18.188,1
0.643,1.857,-0.802,41.748,-34.119,4.456,1
0.329,1.553,-0.682,20.020,-41.443,-6.592,1
0.435,1.356,-0.585,7.202,-50.659,-26.611,1
0.208,1.201,-0.466,-2.258,-50.659,-9.583,1
0.117,1.039,-0.420,-5.066,-37.903,-13.000,1
0.170,0.972,-0.382,-11.780,-10.864,-23.682,1
0.002,0.915,-0.394,-4.395,5.737,-22.827,1
0.075,0.848,-0.480,11.353,20.447,-22.583,1
0.022,0.898,-0.524,26.062,25.574,-16.846,1
-0.038,0.900,-0.632,41.687,28.442,-4.517,1
-0.000,0.900,-0.720,46.692,36.316,-3.418,1
-0.037,0.894,-0.807,45.105,44.067,-1.282,1
0.003,0.895,-0.850,38.330,50.415,-1.221,1
0.001,0.919,-0.864,34.058,47.424,3.174,1
0.002,0.915,-0.838,29.114,42.297,11.230,1
0.022,0.925,-0.799,22.461,39.673,14.282,1
0.035,0.949,-0.759,17.029,37.903,13.184,1
0.043,0.959,-0.741,13.672,36.194,10.742,1
0.053,0.965,-0.727,11.414,34.729,7.690,1
0.061,0.965,-0.718,11.475,33.203,3.601,1
0.066,0.938,-0.723,12.024,30.762,-0.916,1
0.067,0.901,-0.714,12.512,28.137,-4.150,1
0.070,0.846,-0.707,12.878,24.414,-8.362,1
0.062,0.838,-0.687,12.146,21.301,-14.099,1
0.072,0.833,-0.661,9.644,19.836,-18.005,1
0.082,0.810,-0.643,8.484,22.156,-17.761,1
0.090,0.810,-0.632,7.080,26.367,-15.015,1
0.110,0.814,-0.628,5.127,28.992,-13.062,1
0.134,0.784,-0.648,5.554,30.029,-12.695,1
0.148,0.761,-0.687,6.775,28.687,-15.991,1
0.160,0.726,-0.720,5.981,23.987,-21.912,1
0.154,0.717,-0.734,2.625,18.066,-27.893,1
0.146,0.714,-0.741,-3.540,12.756,-32.104,1
0.147,0.708,-0.730,-9.338,9.705,-32.837,1
0.151,0.697,-0.713,-12.817,8.667,-31.250,1
0.148,0.669,-0.719,-13.733,8.179,-29.663,1
0.147,0.658,-0.732,-16.479,5.554,-30.396,1
0.144,0.661,-0.730,-20.203,1.892,-31.738,1
0.151,0.647,-0.722,-24.109,0.366,-32.227,1
0.175,0.616,-0.744,-26.428,2.258,-32.227,1
0.181,0.606,-0.755,-29.297,5.066,-33.386,1
0.182,0.613,-0.746,-32.715,7.080,-35.767,1
0.199,0.574,-0.759,-32.898,8.057,-37.048,1
0.187,0.567,-0.757,-33.630,8.606,-37.903,1
0.170,0.560,-0.742,-36.499,10.437,-40.405,1
0.166,0.528,-0.754,-36.743,12.451,-41.626,1
0.141,0.514,-0.765,-37.354,14.221,-41.687,1
0.127,0.488,-0.778,-38.879,14.709,-40.955,1
0.110,0.465,-0.791,-39.734,15.076,-37.476,1
0.107,0.452,-0.808,-41.443,16.235,-33.508,1
0.114,0.467,-0.817,-44.434,18.066,-30.029,1
0.115,0.476,-0.825,-47.241,18.616,-26.062,1
0.140,0.493,-0.824,-48.645,17.883,-23.315,1
0.162,0.514,-0.824,-49.561,15.198,-21.484,1
0.170,0.530,-0.812,-48.950,11.230,-19.043,1
0.177,0.536,-0.809,-48.523,7.690,-18.738,1
0.182,0.545,-0.811,-49.316,6.470,-20.691,1
0.193,0.542,-0.823,-51.758,6.958,-23.926,1
0.204,0.541,-0.832,-53.406,7.874,-26.550,1
0.206,0.543,-0.815,-55.847,7.751,-28.320,1
0.224,0.509,-0.820,-56.763,6.958,-29.602,1
0.232,0.503,-0.823,-58.960,5.981,-30.823,1
0.228,0.479,-0.828,-61.035,5.737,-32.654,1
0.214,0.480,-0.829,-62.134,6.104,-34.058,1
0.213,0.473,-0.831,-63.965,6.470,-34.241,1
0.221,0.450,-0.836,-65.063,7.080,-33.325,1
0.235,0.455,-0.828,-67.444,8.972,-32.593,1
0.254,0.439,-0.835,-67.688,11.536,-32.410,1
0.267,0.423,-0.854,-67.566,13.000,-34.363,1
0.265,0.399,-0.863,-67.871,13.733,-38.818,1
0.247,0.375,-0.865,-67.993,13.245,-43.396,1
0.223,0.357,-0.860,-68.726,13.367,-46.753,1
0.194,0.335,-0.852,-69.336,14.160,-48.523,1
0.171,0.313,-0.834,-68.604,15.076,-48.584,1
0.156,0.298,-0.809,-66.711,14.832,-46.326,1
0.152,0.303,-0.792,-64.758,15.564,-43.701,1
0.177,0.302,-0.802,-62.195,18.005,-42.786,1
0.203,0.294,-0.839,-57.922,20.508,-43.884,1
0.211,0.288,-0.877,-54.199,21.484,-47.119,1
0.219,0.262,-0.916,-51.331,20.691,-51.331,1
0.219,0.227,-0.950,-49.011,18.738,-54.932,1
0.202,0.182,-0.964,-48.096,16.663,-57.922,1
0.217,0.131,-0.960,-47.485,15.015,-61.096,1
0.190,0.098,-0.953,-45.654,13.977,-62.927,1
0.191,0.051,-0.965,-41.870,13.062,-63.171,1
0.184,-0.005,-0.994,-37.109,13.367,-64.453,1
0.167,-0.079,-1.017,-31.250,13.062,-64.819,1
0.143,-0.148,-1.038,-24.536,11.169,-61.401,1
0.106,-0.194,-1.053,-20.447,9.277,-56.091,1
0.085,-0.228,-1.073,-18.372,8.484,-48.889,1
