aX,aY,aZ,gX,gY,gZ,sample
-3.092,-1.777,-3.924,253.845,-251.465,-120.3,1
0.547,-4,1.493,618.958,91.98,-15.991,1
-0.121,-2.097,-0.798,312.317,161.56,158.02,1
-0.256,-1.585,-0.156,177.917,2.747,142.151,1
-0.524,-0.932,-0.113,89.355,-16.174,76.355,1
-0.398,-0.514,-0.477,7.996,-22.461,14.282,1
-0.174,-0.759,-0.164,-35.645,-7.751,-34.424,1
0.031,-1.001,-0.24,-80.017,-1.77,-48.34,1
0.103,-0.788,-0.322,-104.98,8.484,-20.081,1
0.072,-0.392,-0.317,-108.826,9.949,4.272,1
-0.122,-0.136,-0.305,-102.356,-8.484,9.094,1
-0.298,-0.121,-0.267,-81.604,-20.935,5.737,1
-0.315,-0.33,-0.21,-50.537,-18.555,3.662,1
-0.253,-0.573,-0.176,-21.24,-8.24,0.122,1
-0.177,-0.747,-0.198,1.16,0.671,-3.113,1
-0.107,-0.826,-0.238,17.273,7.08,-5.188,1
-0.07,-0.893,-0.269,28.381,11.597,-7.019,1
-0.017,-0.958,-0.261,34.302,14.893,-9.155,1
0.041,-1.012,-0.288,33.63,14.709,-11.78,1
0.116,-1.066,-0.29,29.419,14.221,-11.536,1
0.16,-1.101,-0.301,22.156,11.292,-7.69,1
0.185,-1.107,-0.297,13.123,6.775,-2.991,1
0.178,-1.09,-0.278,3.296,3.174,1.526,1
0.176,-1.054,-0.297,-7.385,-0.244,4.639,1
0.158,-1.007,-0.327,-16.357,-3.662,4.517,1
0.13,-0.986,-0.338,-21.912,-5.127,3.235,1
0.1,-0.97,-0.329,-25.574,-5.432,1.953,1
0.078,-0.961,-0.316,-27.466,-5.066,0.793,1
0.044,-0.956,-0.291,-28.015,-4.333,-0.122,1
0.025,-0.949,-0.267,-27.771,-2.991,-0.122,1
0.019,-0.942,-0.254,-26.855,-1.343,0.366,1
0.02,-0.93,-0.233,-24.536,0.854,1.892,1
0.022,-0.935,-0.219,-21.973,1.892,4.272,1
0.012,-0.952,-0.213,-19.958,1.831,6.348,1
0,-0.961,-0.213,-18.188,2.136,8.362,1
-0.016,-0.955,-0.221,-16.479,1.953,9.644,1
-0.028,-0.962,-0.232,-14.771,1.831,10.742,1
-0.032,-0.979,-0.246,-12.878,1.953,11.719,1
-0.032,-0.993,-0.255,-11.719,2.014,12.268,1
-0.026,-0.99,-0.256,-10.925,2.625,12.634,1
-0.021,-0.986,-0.247,-9.644,3.418,12.878,1
-0.016,-0.986,-0.239,-8.789,3.479,12.39,1
