0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Sample no
64.459999,50.16,53.199997,55.84,44.32,54.899998,52.579998,56.32,57.919998,46.639999,29.619999,18.459999,18.1,14.48,12,8.86,6.26,3.62,3.62,8.86,14.02,14.48,15.78,14.92,16.18,23.74,8.86,20.459999,14.02,24.279999,11.44,14.48,17.359999,14.92,10.219999,10.219999,7.24,12,10.219999,15.78,6.26,0,7.24,6.26,0,0,0,0,0,0,3.62,0,3.62,3.62,5.1,5.1,5.1,3.62,3.62,0,3.62,0,3.62,0,1
66.159996,80.939995,73.580002,81.419998,96.040001,93.419998,100.259995,68.860001,54.18,34.899998,26.099998,26.34,26.099998,24.539999,23.18,18.799999,15.339999,13.04,11.44,10.219999,10.219999,8.86,8.08,7.24,9.559999,8.86,3.62,0,3.62,7.24,9.559999,10.86,11.44,11.44,11.44,12,13.54,15.78,15.339999,11.44,10.219999,7.24,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
42.200001,38.48,40.459999,44.619999,47.739998,34.719997,30.5,25.08,26.599998,18.799999,14.92,12.54,12,12,14.02,14.92,14.92,15.78,15.339999,14.02,13.54,13.04,7.24,5.1,7.24,7.24,6.26,7.24,8.86,7.24,0,0,3.62,3.62,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,3.62,3.62,5.1,0,3.62,0,0,0,3.62,3.62,0,0,0,0,3
73.919998,68.979996,68.860001,71.400002,48.559998,47.34,37.259998,31.559999,24.539999,15.78,15.78,19.82,18.459999,19.139999,16.98,15.339999,14.02,12,10.219999,8.08,7.24,8.08,7.24,6.26,5.1,3.62,3.62,3.62,0,0,0,0,3.62,6.26,5.1,6.26,6.26,7.24,7.24,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
107.199997,99.400002,126.079994,121.68,159.019989,153.800003,176.23999,170.339996,126.5,89.400002,85.439995,55.139999,36.559998,28.5,20.459999,19.139999,19.82,18.459999,16.18,10.219999,7.24,6.26,5.1,0,0,5.1,3.62,0,0,0,0,0,0,0,3.62,5.1,6.26,8.86,10.219999,10.219999,11.44,12,13.04,14.02,12.54,12,12,11.44,10.86,10.219999,9.559999,9.559999,8.08,6.26,7.24,9.559999,9.559999,8.86,8.08,8.08,8.08,8.08,8.08,7.24,5
76.279999,86.939995,86.879997,93.779999,110.459999,108.599998,81.82,77.720001,91.299995,80.220001,65.459999,60.02,49.5,34.34,22.02,22.879999,21.1,21.719999,18.799999,19.48,16.18,13.04,10.219999,5.1,6.26,8.08,0,0,3.62,6.26,6.26,6.26,3.62,3.62,0,0,0,0,0,3.62,3.62,6.26,7.24,8.86,5.1,5.1,5.1,5.1,3.62,6.26,7.24,7.24,7.24,7.24,6.26,7.24,6.26,5.1,3.62,5.1,6.26,3.62,3.62,5.1,6
57.919998,61,66.939995,66.059998,78.299995,87.479996,97.68,82.540001,90.779999,86.259995,64.959999,60.459999,56.66,50.939999,52.699997,26.099998,24,21.4,16.98,16.18,13.54,12,9.559999,0,0,0,0,0,6.26,6.26,9.559999,3.62,0,3.62,7.24,6.26,5.1,0,3.62,7.24,0,0,0,3.62,0,0,0,0,0,3.62,3.62,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,7
78.400002,78.059998,79.239998,87.779999,85.580002,72.040001,64.139999,73.919998,86.639999,94.879997,72.400002,60.239998,58.599998,44.919998,30.059999,27.08,23.18,17.719999,15.339999,14.48,10.219999,8.86,0,0,3.62,6.26,0,3.62,8.86,9.559999,8.08,6.26,5.1,3.62,6.26,5.1,3.62,0,0,3.62,5.1,6.26,7.24,8.08,8.86,9.559999,10.219999,10.219999,10.219999,9.559999,7.24,7.24,6.26,6.26,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,0,8
106.399994,118.639999,110.220001,88.659996,78.239998,120.439995,114.119995,36.200001,30.279999,31.76,27.08,25.84,19.48,14.92,12,8.08,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,3.62,5.1,6.26,5.1,5.1,5.1,5.1,7.24,7.24,8.08,8.08,9.559999,11.44,10.86,8.86,8.08,6.26,6.26,6.26,8.08,7.24,8.08,8.86,7.24,8.86,9.559999,8.08,7.24,5.1,3.62,3.62,3.62,0,0,9
79.139999,80.040001,93.559998,90.639999,116.699997,148.73999,102.639999,130.080002,121.579994,105.540001,109.979996,97.059998,81.040001,63.619999,31.76,31.139999,26.599998,23.74,20.779999,20.139999,18.1,15.339999,10.86,8.08,5.1,3.62,0,0,3.62,3.62,3.62,3.62,0,5.1,0,0,0,0,0,0,0,3.62,0,5.1,3.62,6.26,3.62,7.24,8.86,8.86,10.219999,11.44,10.219999,10.86,8.86,7.24,5.1,5.1,3.62,9.559999,10.86,8.08,3.62,0,10
