aX,aY,aZ,gX,gY,gZ,sample
0.328,-2.113,-0.303,-33.752,23.01,-148.437,1
0.348,-2.101,-0.322,-43.457,22.4,-112.915,1
0.363,-2.038,-0.386,-46.448,22.766,-82.703,1
0.353,-1.922,-0.484,-41.992,23.804,-58.289,1
0.347,-1.791,-0.569,-34.485,22.522,-40.222,1
0.339,-1.643,-0.628,-26.55,18.25,-27.71,1
0.326,-1.524,-0.633,-17.944,11.719,-21.729,1
0.334,-1.456,-0.652,-9.46,5.493,-20.508,1
0.375,-1.436,-0.656,-2.258,-0.671,-21.057,1
0.413,-1.408,-0.633,1.099,-5.554,-17.761,1
0.453,-1.409,-0.584,1.526,-8.972,-11.292,1
0.485,-1.413,-0.57,0.61,-10.254,-1.953,1
0.511,-1.41,-0.553,-4.456,-10.803,11.414,1
0.531,-1.392,-0.522,-11.841,-11.597,26.733,1
0.529,-1.379,-0.492,-18.066,-11.475,42.48,1
0.535,-1.387,-0.44,-20.691,-9.46,57.556,1
0.534,-1.39,-0.427,-19.836,-4.333,71.838,1
0.527,-1.39,-0.449,-16.113,1.587,85.693,1
0.502,-1.408,-0.468,-10.071,6.592,99.304,1
0.472,-1.473,-0.516,-1.404,9.705,113.525,1
0.426,-1.51,-0.599,6.836,10.254,129.578,1
0.381,-1.584,-0.71,10.986,4.456,149.048,1
0.359,-1.677,-0.849,7.69,-8.362,172.546,1
0.329,-1.711,-0.936,-3.54,-28.442,201.355,1
0.283,-1.697,-0.94,-21.606,-52.49,233.215,1
0.235,-1.659,-0.877,-47.974,-74.707,266.113,1
0.193,-1.609,-0.741,-77.332,-93.628,299.133,1
0.182,-1.618,-0.656,-105.53,-105.591,330.2,1
0.175,-1.598,-0.597,-132.385,-113.342,361.633,1
0.158,-1.501,-0.501,-156.982,-116.638,394.714,1
0.128,-1.357,-0.358,-182.861,-114.868,428.04,1
0.119,-1.196,-0.219,-211.853,-109.253,459.412,1
0.106,-1.021,-0.177,-230.591,-96.802,482.971,1
0.093,-0.873,-0.24,-231.262,-79.956,496.338,1
0.078,-0.753,-0.372,-213.501,-65.552,502.93,1
0.051,-0.661,-0.587,-182.312,-59.021,506.042,1
-0.004,-0.575,-0.794,-144.043,-63.66,508.972,1
-0.077,-0.446,-0.912,-105.713,-79.224,511.414,1
-0.172,-0.262,-0.857,-66.956,-99.548,512.695,1
-0.257,-0.063,-0.625,-23.804,-118.225,509.277,1
-0.328,0.16,-0.253,13.916,-127.93,499.451,1
-0.346,0.389,0.116,38.208,-124.39,484.924,1
-0.266,0.557,0.376,46.692,-111.694,460.693,1
-0.148,0.765,0.664,40.405,-94.482,426.758,1
0.031,0.881,0.858,23.743,-68.726,389.099,1
0.155,1.016,0.813,-0.488,-37.842,351.562,1
0.263,1.121,0.686,-20.569,-9.216,311.035,1
0.335,1.089,0.518,-18.005,16.418,265.747,1
0.278,1.002,0.44,2.075,40.344,218.323,1
0.249,0.885,0.323,31.799,61.34,175.903,1
0.134,0.726,0.211,66.711,77.271,149.841,1
0.065,0.599,0.073,94.849,90.515,140.808,1
-0.022,0.588,0.008,109.131,93.628,144.592,1
-0.132,0.724,-0.064,107.666,87.036,158.081,1
-0.232,0.995,-0.13,91.125,74.951,173.889,1
-0.311,1.278,-0.145,67.81,57.8,182.007,1
-0.376,1.573,-0.091,42.969,40.466,180.847,1
-0.417,1.876,-0.087,20.569,30.09,171.265,1
-0.422,2.137,-0.112,6.714,24.292,148.804,1
-0.388,2.267,-0.106,3.54,20.081,115.417,1
-0.318,2.236,-0.101,9.644,17.822,74.829,1
-0.207,2.075,-0.126,19.104,17.944,35.461,1
-0.07,1.849,-0.184,28.076,18.311,2.747,1
0.063,1.599,-0.227,38.635,17.09,-22.278,1
0.19,1.297,-0.243,50.537,12.451,-40.222,1
0.28,0.964,-0.25,56.58,5.188,-48.462,1
0.346,0.71,-0.221,54.016,-4.761,-43.091,1
0.377,0.604,-0.171,42.236,-17.151,-24.841,1
0.395,0.637,-0.123,22.034,-30.273,0,1
0.388,0.763,-0.078,-2.93,-42.419,23.071,1
0.381,0.95,-0.001,-24.841,-49.866,38.147,1
0.384,1.108,0.085,-37.292,-49.744,40.283,1
0.391,1.182,0.137,-38.818,-41.199,30.884,1
0.399,1.185,0.158,-28.687,-28.137,14.099,1
0.413,1.113,0.126,-11.536,-13.489,-4.822,1
0.431,0.999,0.054,3.906,0.061,-20.691,1
0.456,0.898,-0.03,14.771,8.423,-30.945,1
0.472,0.793,-0.099,24.109,11.963,-36.316,1
0.5,0.703,-0.114,31.006,9.521,-37.292,1
0.519,0.643,-0.077,31.738,3.601,-31.738,1
0.537,0.617,-0.009,24.109,-2.319,-21.973,1
0.535,0.631,0.05,12.207,-7.446,-10.864,1
0.533,0.703,0.124,-0.427,-10.803,-0.488,1
0.517,0.803,0.182,-11.108,-11.658,7.568,1
0.504,0.893,0.206,-18.433,-8.911,10.01,1
0.489,0.967,0.214,-21.545,-4.395,7.751,1
0.481,1.014,0.211,-18.738,1.038,1.526,1
0.471,1.007,0.177,-10.315,7.263,-6.897,1
0.471,0.967,0.139,-0.244,12.756,-15.991,1
0.477,0.903,0.087,8.85,16.052,-23.315,1
0.482,0.843,0.036,15.32,16.479,-27.771,1
0.479,0.795,-0.001,18.677,14.404,-28.442,1
0.481,0.741,0.003,19.348,9.399,-25.818,1
0.477,0.711,0.027,15.503,4.028,-20.691,1
