aX,aY,aZ,gX,gY,gZ,sample
-0.75,-1.169,-0.829,131.653,-25.33,198.242,1
-0.78,-1.29,-0.753,159.058,-28.87,170.41,1
-0.788,-1.48,-0.642,178.589,-31.799,150.391,1
-0.893,-1.691,-0.54,178.223,-30.884,138.672,1
-1.007,-1.92,-0.469,157.288,-23.071,134.583,1
-1.138,-2.075,-0.461,122.559,-8.179,132.935,1
-1.218,-2.155,-0.479,87.524,8.057,125,1
-1.275,-2.171,-0.448,66.101,20.02,106.812,1
-1.291,-2.143,-0.374,62.256,24.414,77.759,1
-1.223,-2.052,-0.259,68.97,23.132,42.114,1
-1.152,-1.944,-0.133,75.439,17.029,7.996,1
-1.064,-1.843,-0.048,75.684,10.315,-17.578,1
-1.016,-1.787,-0.018,65.491,7.08,-32.41,1
-0.988,-1.77,0.007,41.626,9.766,-36.987,1
-0.971,-1.695,-0.03,8.24,16.785,-37.903,1
-0.955,-1.602,-0.094,-23.315,23.926,-39.917,1
-0.92,-1.497,-0.136,-44.189,27.588,-46.204,1
-0.877,-1.362,-0.147,-53.101,26.367,-58.228,1
-0.815,-1.219,-0.137,-53.04,22.705,-73.12,1
-0.742,-1.088,-0.104,-49.5,18.494,-86.426,1
-0.685,-0.996,-0.066,-47.974,15.259,-94.849,1
-0.646,-0.958,-0.058,-52.307,12.939,-96.375,1
-0.667,-0.965,-0.084,-66.162,13.489,-90.759,1
-0.724,-1.07,-0.156,-87.646,18.738,-79.895,1
-0.834,-1.216,-0.222,-115.051,27.893,-69.458,1
-0.887,-1.325,-0.304,-143.616,38.452,-64.697,1
-0.913,-1.347,-0.378,-164.062,45.166,-67.993,1
-0.934,-1.351,-0.386,-168.701,44.373,-79.163,1
-0.908,-1.29,-0.392,-161.682,38.391,-98.45,1
-0.854,-1.174,-0.378,-149.231,29.053,-122.192,1
-0.764,-1.007,-0.391,-135.986,20.447,-143.127,1
-0.664,-0.845,-0.422,-125,13.062,-159.363,1
-0.613,-0.738,-0.416,-116.394,9.399,-167.847,1
-0.551,-0.651,-0.397,-115.845,12.207,-169.434,1
-0.479,-0.553,-0.38,-124.023,19.104,-167.542,1
-0.445,-0.457,-0.36,-137.207,26.917,-162.659,1
-0.411,-0.362,-0.338,-150.391,34.668,-156.555,1
-0.376,-0.244,-0.316,-159.424,39.978,-152.527,1
-0.385,-0.156,-0.246,-162.354,41.26,-149.231,1
-0.39,-0.087,-0.175,-160.583,39.734,-148.01,1
-0.427,-0.025,-0.155,-157.166,33.02,-148.315,1
-0.476,0.03,-0.129,-154.114,25.757,-148.01,1
-0.45,0.099,-0.167,-151.123,19.653,-147.766,1
-0.458,0.148,-0.194,-149.109,13.916,-146.729,1
-0.485,0.247,-0.216,-147.522,10.01,-145.935,1
-0.476,0.395,-0.259,-145.691,8.484,-147.156,1
-0.489,0.569,-0.281,-138.794,7.507,-148.621,1
-0.495,0.73,-0.243,-126.709,6.897,-147.949,1
-0.489,0.905,-0.186,-110.229,6.47,-146.606,1
-0.509,1.056,-0.139,-93.445,4.272,-145.447,1
-0.53,1.148,-0.031,-75.928,3.296,-140.442,1
-0.547,1.196,0.072,-61.096,3.052,-130.371,1
-0.569,1.142,0.17,-51.147,1.831,-114.868,1
-0.659,1.044,0.254,-50.476,1.099,-97.595,1
-0.691,1.021,0.248,-59.143,3.113,-82.886,1
-0.715,1.079,0.181,-68.115,3.357,-70.801,1
-0.748,1.102,0.131,-66.528,-0.244,-60.73,1
-0.789,1.107,0.126,-56.824,-4.272,-53.101,1
-0.818,1.149,0.138,-44.556,-8.362,-48.523,1
-0.835,1.19,0.125,-31.494,-14.038,-45.288,1
-0.888,1.167,0.125,-19.592,-18.494,-38.574,1
-0.922,1.135,0.121,-13.733,-18.433,-29.053,1
-0.943,1.124,0.07,-12.573,-16.174,-19.409,1
-0.978,1.094,0.028,-9.949,-14.099,-10.01,1
-1.005,1.058,0.003,-5.493,-10.986,-2.319,1
-1.029,1.024,-0.02,0.854,-8.606,3.662,1
-1.061,0.968,-0.023,9.155,-7.446,8.606,1
-1.072,0.903,-0.009,16.785,-6.165,12.756,1
-1.085,0.871,-0.013,23.315,-5.859,15.747,1
-1.101,0.8,-0.009,29.724,-4.517,19.714,1
-1.103,0.727,0.005,33.203,-0.732,24.658,1
-1.09,0.68,-0.004,33.02,3.662,28.687,1
