aX,aY,aZ,gX,gY,gZ,sample
0.477,-1.87,-0.205,-2.441,5.127,-6.775,1
0.505,-1.867,-0.241,3.601,5.432,0.671,1
0.507,-1.901,-0.237,8.484,5.554,10.62,1
0.5,-1.884,-0.247,12.817,6.592,23.376,1
0.471,-1.881,-0.246,16.296,6.897,37.109,1
0.466,-1.893,-0.219,20.142,6.104,48.157,1
0.482,-1.867,-0.189,26.245,5.981,59.509,1
0.446,-1.836,-0.151,34.729,5.981,69.641,1
0.426,-1.813,-0.22,43.701,7.08,76.904,1
0.396,-1.677,-0.2,49.133,2.991,85.815,1
0.402,-1.648,-0.211,49.5,-2.563,91.675,1
0.384,-1.625,-0.216,49.744,-7.324,99.976,1
0.371,-1.542,-0.183,51.514,-11.353,109.985,1
0.35,-1.522,-0.183,56.58,-12.207,117.371,1
0.339,-1.45,-0.139,61.035,-13.367,124.939,1
0.368,-1.382,-0.13,64.209,-14.221,132.568,1
0.351,-1.361,-0.119,69.397,-14.282,140.442,1
0.288,-1.189,-0.123,73.364,-13.977,149.353,1
0.265,-1.074,-0.163,71.289,-16.174,154.236,1
0.257,-1.09,-0.174,66.711,-19.958,158.02,1
0.224,-1.123,-0.176,69.214,-20.142,166.138,1
0.232,-1.06,-0.148,75.562,-20.752,176.941,1
0.267,-0.824,-0.046,80.994,-22.095,186.646,1
0.3,-0.77,-0.03,89.111,-22.827,187.256,1
0.314,-0.523,0.02,91.858,-24.719,187.5,1
0.362,-0.305,0.066,88.318,-26.428,184.937,1
0.428,-0.342,0.078,81.848,-25.024,176.025,1
0.432,-0.314,0.06,76.416,-21.973,174.622,1
0.406,-0.238,0.008,76.05,-19.531,173.584,1
0.413,-0.125,0.003,76.294,-18.799,169.8,1
0.446,-0.033,-0.011,73.608,-20.02,165.588,1
0.474,0.037,-0.018,71.472,-21.057,161.682,1
0.502,0.096,-0.029,70.251,-22.949,157.898,1
0.509,0.126,-0.042,68.97,-24.902,153.564,1
0.504,0.234,-0.038,67.139,-26.611,149.17,1
0.556,0.293,-0.045,64.453,-28.931,139.16,1
0.563,0.281,-0.076,64.758,-30.029,127.441,1
0.584,0.315,-0.096,67.322,-29.846,120.667,1
0.625,0.361,-0.083,67.932,-32.715,113.831,1
0.657,0.461,-0.024,67.322,-37.659,105.774,1
0.762,0.523,0.053,65.247,-40.71,94.055,1
0.846,0.495,0.082,65.735,-41.138,80.2,1
