aX,aY,aZ,gX,gY,gZ,sample
0.529,-1.907,-0.133,-62.073,10.437,-11.963,1
0.59,-1.821,-0.077,-75.928,19.043,28.687,1
0.615,-1.704,-0.121,-66.345,29.785,57.8,1
0.633,-1.562,-0.219,-41.809,38.086,70.74,1
0.643,-1.413,-0.301,-17.639,39.49,74.097,1
0.667,-1.286,-0.345,1.77,33.813,73.975,1
0.699,-1.195,-0.348,14.343,23.865,73.181,1
0.727,-1.123,-0.344,27.466,14.465,71.655,1
0.732,-1.078,-0.349,44.25,10.071,68.604,1
0.718,-1.08,-0.362,59.509,8.118,66.101,1
0.71,-1.103,-0.373,67.444,5.981,68.604,1
0.718,-1.095,-0.337,64.636,3.54,79.407,1
0.729,-1.072,-0.308,57.8,2.502,97.168,1
0.736,-1.021,-0.264,49.072,3.174,117.065,1
0.758,-0.973,-0.22,41.016,6.226,134.521,1
0.766,-0.893,-0.234,46.631,11.475,146.973,1
0.756,-0.812,-0.275,60.303,17.456,155.212,1
0.742,-0.727,-0.3,68.237,20.386,161.255,1
0.758,-0.655,-0.269,69.824,20.569,166.87,1
0.742,-0.598,-0.303,78.918,22.095,170.349,1
0.722,-0.547,-0.297,86.121,23.926,172.485,1
0.723,-0.5,-0.24,90.027,26.367,174.561,1
0.691,-0.464,-0.23,97.717,30.64,176.331,1
0.648,-0.425,-0.276,107.544,34.668,177.795,1
0.612,-0.359,-0.289,114.868,35.156,178.955,1
0.558,-0.27,-0.311,121.826,32.593,181.274,1
0.517,-0.173,-0.305,128.479,28.381,184.021,1
0.478,-0.085,-0.301,132.568,24.78,184.57,1
0.462,-0.006,-0.268,136.78,20.935,183.594,1
0.443,0.094,-0.245,142.822,18.127,181.885,1
0.422,0.202,-0.188,144.775,15.564,181.824,1
0.416,0.302,-0.1,145.63,15.381,182.8,1
0.412,0.413,-0.087,152.832,20.142,182.495,1
0.382,0.548,-0.121,155.151,25.146,181.58,1
0.371,0.677,-0.156,145.874,28.198,179.871,1
0.38,0.759,-0.152,129.822,29.175,176.514,1
0.376,0.814,-0.167,120.728,30.701,169.617,1
0.37,0.878,-0.225,126.221,32.837,161.255,1
0.361,0.94,-0.257,137.939,33.386,153.503,1
0.364,1.018,-0.286,145.752,31.128,146.362,1
0.371,1.127,-0.301,143.555,27.954,140.137,1
0.385,1.224,-0.283,128.784,25.879,132.202,1
0.419,1.274,-0.257,103.394,22.522,123.047,1
0.45,1.266,-0.224,78.064,20.874,112.061,1
0.464,1.244,-0.229,67.383,22.339,97.534,1
0.449,1.19,-0.297,77.454,27.344,81.299,1
0.42,1.145,-0.385,90.332,30.151,68.115,1
0.412,1.12,-0.433,93.079,27.649,61.462,1
0.414,1.111,-0.431,86.243,21.973,59.814,1
0.421,1.122,-0.414,74.402,17.09,59.326,1
0.441,1.142,-0.376,58.777,12.939,56.641,1
0.464,1.134,-0.353,42.725,10.01,51.88,1
0.467,1.128,-0.359,31.555,8.606,45.898,1
0.469,1.115,-0.368,28.809,8.057,38.757,1
0.467,1.105,-0.396,35.4,9.094,31.494,1
0.469,1.103,-0.423,38.94,8.728,25.94,1
0.472,1.079,-0.456,39.246,7.568,22.4,1
0.476,1.067,-0.459,36.194,5.31,20.02,1
0.487,1.068,-0.453,31.25,1.892,17.029,1
0.494,1.071,-0.443,26.489,-1.16,12.878,1
0.506,1.062,-0.433,20.569,-3.967,7.996,1
0.525,1.04,-0.413,14.404,-6.287,2.747,1
0.531,1.001,-0.407,8.606,-7.996,-1.709,1
0.542,0.962,-0.38,8.484,-8.362,-5.127,1
0.547,0.938,-0.377,15.686,-6.531,-9.705,1
0.552,0.897,-0.373,18.555,-5.432,-13.245,1
0.555,0.863,-0.379,16.174,-5.005,-13.245,1
0.553,0.856,-0.391,13.733,-4.578,-11.23,1
0.56,0.865,-0.388,8.972,-4.333,-8.728,1
0.574,0.876,-0.365,2.075,-4.944,-7.08,1
0.588,0.876,-0.351,-2.075,-5.554,-7.812,1
0.599,0.859,-0.343,-4.15,-5.798,-10.681,1
0.595,0.823,-0.36,-3.906,-5.737,-14.343,1
0.588,0.794,-0.391,-4.089,-6.165,-16.724,1
0.578,0.748,-0.416,-5.554,-7.08,-17.151,1
0.57,0.713,-0.42,-6.47,-8.484,-15.137,1
0.575,0.696,-0.393,-8.972,-10.132,-11.78,1
0.585,0.699,-0.357,-11.902,-11.414,-8.545,1
0.594,0.7,-0.319,-15.198,-11.658,-6.47,1
0.608,0.704,-0.275,-14.832,-9.888,-5.493,1
0.618,0.712,-0.252,-8.545,-5.737,-6.165,1
0.618,0.705,-0.265,-0.183,-0.854,-8.606,1
0.612,0.688,-0.302,7.324,3.113,-11.78,1
0.608,0.679,-0.335,12.634,5.188,-13.611,1
0.599,0.677,-0.357,14.465,5.188,-13.611,1
0.598,0.674,-0.365,13.428,4.822,-13.123,1
0.589,0.664,-0.373,10.132,3.052,-10.864,1
0.588,0.668,-0.384,4.211,0.0,-7.324,1
0.585,0.677,-0.379,-5.798,-2.991,-3.296,1
0.594,0.694,-0.344,-17.639,-5.554,0.549,1
0.603,0.693,-0.316,-18.311,-4.7,2.319,1
0.607,0.689,-0.298,-12.268,-2.258,0.366,1
0.599,0.676,-0.302,-4.028,0.366,-2.869,1
0.586,0.654,-0.324,1.16,2.38,-5.249,1
0.573,0.643,-0.357,3.601,3.967,-5.493,1
0.568,0.635,-0.371,2.441,4.211,-3.906,1
0.568,0.653,-0.378,0.488,3.235,-1.282,1
0.565,0.663,-0.39,1.221,2.319,1.16,1
0.564,0.687,-0.391,0.977,0.916,3.296,1
0.573,0.707,-0.372,0.427,-0.305,4.761,1
0.577,0.716,-0.367,1.892,-0.61,5.188,1
0.574,0.721,-0.367,3.357,-0.977,4.578,1
0.573,0.725,-0.353,4.639,-1.099,3.784,1
