aX,aY,aZ,gX,gY,gZ,sample
-0.11,2.193,0.411,-21.301,-32.593,-54.504,1
-0.22,2.139,0.527,-13.428,-27.283,-83.557,1
-0.219,2.195,0.62,-24.231,-20.386,-102.661,1
-0.261,2.209,0.578,-25.208,-2.625,-120.911,1
-0.344,2.283,0.489,-4.333,20.508,-137.207,1
-0.333,2.416,0.379,5.127,32.959,-150.391,1
-0.366,2.521,0.28,14.282,37.415,-166.748,1
-0.444,2.539,0.232,31.006,37.72,-195.618,1
-0.559,2.503,0.131,60.242,35.828,-229.004,1
-0.728,2.512,0.138,60.364,30.884,-258.484,1
-0.745,2.434,0.118,67.383,26.855,-293.579,1
-0.857,2.264,0.078,57.678,33.142,-336.243,1
-0.932,1.993,0.092,46.448,37.292,-382.446,1
-0.773,1.423,0.061,52.612,39.001,-437.134,1
-0.725,0.873,-0.007,45.593,50.842,-475.525,1
-0.567,0.451,-0.143,39.001,62.5,-480.225,1
-0.403,0.159,-0.303,45.227,67.627,-462.158,1
-0.266,0.006,-0.416,32.837,62.317,-433.96,1
-0.147,-0.061,-0.517,27.405,51.941,-404.663,1
-0.07,-0.008,-0.563,25.513,38.452,-373.779,1
0.02,0.052,-0.526,28.137,16.785,-347.839,1
0.069,-0.031,-0.446,32.349,-4.456,-338.989,1
0.18,-0.208,-0.371,12.512,-17.639,-344.482,1
0.086,-0.444,-0.314,-9.705,-24.597,-352.478,1
0.165,-0.641,-0.229,-11.78,-32.349,-349.609,1
0.241,-0.744,-0.18,-4.517,-35.828,-329.956,1
0.303,-0.775,-0.143,-2.319,-31.616,-303.04,1
0.397,-0.799,-0.154,1.892,-28.076,-281.86,1
0.418,-0.795,-0.221,11.902,-23.193,-262.756,1
0.509,-0.73,-0.295,29.907,-21.79,-240.784,1
0.449,-0.594,-0.385,58.228,-24.536,-215.149,1
0.46,-0.47,-0.41,75.684,-32.715,-199.585,1
0.451,-0.429,-0.308,63.66,-48.157,-202.82,1
0.438,-0.489,-0.195,58.472,-60.974,-213.135,1
0.422,-0.579,-0.112,62.012,-66.04,-220.337,1
0.442,-0.64,-0.051,60.12,-67.688,-222.717,1
0.371,-0.705,0.025,57.19,-68.298,-221.802,1
0.315,-0.779,0.129,51.88,-70.74,-221.436,1
0.412,-0.874,0.2,38.147,-69.214,-223.267,1
0.424,-0.985,0.217,33.691,-57.068,-221.375,1
0.415,-1.06,0.172,44.8,-44.983,-218.994,1
0.368,-1.086,0.067,67.139,-38.757,-218.75,1
0.401,-1.204,0.082,60.12,-43.335,-178.589,1
0.346,-1.207,0.176,43.64,-48.157,-150.696,1
0.352,-1.192,0.28,50.293,-51.025,-132.263,1
0.356,-1.159,0.356,59.326,-46.143,-116.394,1
0.365,-1.125,0.377,62.073,-34.79,-102.234,1
0.412,-1.127,0.339,66.467,-23.682,-93.445,1
0.358,-1.102,0.298,59.509,-13.977,-86.182,1
0.344,-1.105,0.265,50.964,-8.728,-80.566,1
0.367,-1.12,0.251,45.41,-5.798,-76.294,1
0.384,-1.145,0.231,39.734,-2.869,-71.899,1
0.398,-1.165,0.211,37.231,-1.16,-66.406,1
0.382,-1.203,0.175,34.424,-0.671,-60.364,1
0.367,-1.197,0.184,23.804,-0.854,-51.88,1
0.389,-1.245,0.197,23.621,-2.502,-44.434,1
0.402,-1.302,0.197,19.775,-1.953,-38.574,1
0.418,-1.294,0.178,11.475,0.671,-27.71,1
0.441,-1.158,0.127,18.188,2.502,-8.789,1
0.457,-0.952,0.092,25.208,2.136,7.812,1
0.497,-0.85,0.062,26.367,-0.916,11.78,1
0.477,-0.851,0.131,15.808,-5.676,5.188,1
0.505,-0.95,0.18,18.188,-10.315,-1.038,1
0.488,-1.01,0.258,8.484,-9.277,-2.869,1
0.51,-1.012,0.277,4.028,-4.7,2.441,1
0.526,-0.938,0.25,3.967,2.502,10.071,1
0.536,-0.88,0.179,-2.319,9.399,14.343,1
0.546,-0.865,0.107,-2.075,11.902,14.771,1
0.626,-0.881,0.065,-4.639,10.376,16.541,1
0.594,-0.895,0.042,-6.104,7.202,19.714,1
0.599,-0.852,0.099,-6.226,1.16,22.644,1
0.621,-0.811,0.145,0.061,-0.732,24.658,1
0.634,-0.742,0.13,2.686,2.93,27.649,1
0.64,-0.701,0.069,8.972,6.409,28.564,1
0.647,-0.685,0.029,7.019,6.836,25.94,1
0.653,-0.757,0.019,4.089,2.747,19.47,1
0.65,-0.799,0.072,1.221,-3.479,16.785,1
0.646,-0.82,0.156,-3.662,-7.507,18.86,1
0.637,-0.819,0.206,-1.526,-7.751,21.606,1
0.628,-0.782,0.25,-10.62,-4.456,24.292,1
0.621,-0.791,0.227,-6.409,0.366,23.987,1
0.626,-0.773,0.189,-6.287,5.127,24.841,1
0.629,-0.779,0.152,-9.155,7.263,24.536,1
0.623,-0.809,0.136,-4.272,6.531,25.024,1
0.617,-0.819,0.153,-4.272,4.822,27.161,1
0.609,-0.843,0.163,-4.578,4.211,29.541,1
0.595,-0.83,0.176,-8.484,5.188,32.349,1
0.581,-0.873,0.174,-13.916,6.287,32.837,1
0.556,-0.971,0.192,-15.808,6.592,31.982,1
0.547,-1.085,0.222,-20.508,7.019,33.081,1
0.552,-1.182,0.271,-24.231,6.836,38.147,1
0.508,-1.242,0.322,-25.146,9.338,48.645,1
0.466,-1.274,0.353,-27.283,13.855,62.439,1
0.507,-1.265,0.395,-34.363,19.043,77.576,1
0.469,-1.255,0.419,-32.288,25.33,92.407,1
0.449,-1.229,0.417,-23.437,34.363,108.032,1
0.46,-1.164,0.398,-25.024,43.945,123.718,1
0.462,-1.043,0.339,-26.367,55.42,139.099,1
0.453,-0.893,0.259,-23.621,65.247,154.236,1
0.473,-0.765,0.211,-19.531,69.763,163.757,1
0.496,-0.742,0.195,-24.353,70.251,163.086,1
0.494,-0.836,0.21,-31.128,70.068,157.349,1
0.474,-0.941,0.24,-37.231,70.862,157.593,1
0.434,-1.001,0.249,-36.194,75.439,166.931,1
0.411,-0.998,0.247,-33.813,81.848,182.373,1
0.404,-0.928,0.205,-34.485,90.454,199.28,1
0.397,-0.832,0.145,-39.307,100.159,212.646,1
0.421,-0.817,0.04,-42.236,109.619,218.201,1
0.409,-0.881,-0.071,-39.551,116.028,220.154,1
0.375,-0.953,-0.159,-33.752,114.441,227.478,1
0.311,-0.933,-0.204,-21.973,106.323,245.483,1
0.251,-0.769,-0.213,-9.094,96.008,273.315,1
0.221,-0.516,-0.21,1.953,91.187,302.307,1
0.169,-0.278,-0.195,13.55,89.539,322.571,1
0.223,-0.076,-0.218,33.569,87.952,331.848,1
0.27,0.17,-0.264,34.79,90.454,336.914,1
0.322,0.388,-0.339,23.804,93.079,333.496,1
0.379,0.472,-0.426,20.264,90.393,314.331,1
0.365,0.41,-0.481,11.902,79.956,283.264,1
-0.079,2.072,-0.267,-9.766,-3.662,73.914,2
-0.075,1.768,-0.304,-24.414,-6.104,26.672,2
-0.058,1.399,-0.279,-35.645,-13.306,-5.798,2
-0.039,1.089,-0.216,-42.358,-21.362,-18.311,2
-0.033,0.911,-0.139,-46.448,-25.635,-12.573,2
-0.024,0.88,-0.071,-44.128,-24.109,4.028,2
-0.025,0.961,-0.043,-36.316,-16.968,23.132,2
-0.01,1.088,-0.087,-24.719,-6.592,36.072,2
-0.027,1.213,-0.189,-10.803,2.93,41.26,2
-0.028,1.323,-0.273,-5.188,7.08,40.833,2
-0.021,1.411,-0.323,-0.732,5.92,35.95,2
-0.022,1.467,-0.339,3.052,3.052,29.053,2
-0.012,1.487,-0.297,1.77,-2.014,18.677,2
0.002,1.456,-0.248,-2.869,-5.92,5.737,2
0.006,1.352,-0.22,-7.202,-6.409,-7.812,2
0.018,1.215,-0.209,-10.681,-5.127,-19.165,2
-0.012,1.078,-0.214,-11.719,-3.662,-25.818,2
0.068,0.987,-0.225,-11.047,-1.587,-25.818,2
0.054,0.965,-0.244,-12.695,0.671,-20.935,2
0.06,0.957,-0.271,-11.963,1.343,-16.663,2
0.072,0.965,-0.295,-11.841,1.099,-14.893,2
0.08,0.982,-0.314,-11.353,0.427,-13.916,2
0.089,0.99,-0.328,-8.423,-0.916,-13.794,2
0.087,0.975,-0.32,-5.676,-2.686,-14.832,2
0.117,0.982,-0.301,-6.592,-3.967,-16.113,2
0.117,0.953,-0.299,-5.249,-4.456,-18.188,2
0.122,0.946,-0.301,-3.113,-4.944,-19.287,2
0.128,0.933,-0.287,-4.578,-6.531,-19.592,2
0.121,0.92,-0.262,-4.15,-7.812,-19.836,2
0.131,0.908,-0.255,-2.991,-6.958,-19.47,2
0.125,0.903,-0.267,-1.526,-4.456,-18.738,2
0.136,0.923,-0.287,-1.099,-2.991,-17.09,2
0.144,0.961,-0.303,-2.686,-2.625,-15.625,2
0.14,1.008,-0.324,-2.38,-2.747,-15.32,2
0.142,1.04,-0.339,-3.357,-3.174,-16.663,2
0.136,1.036,-0.33,-3.235,-5.798,-20.325,2
0.124,1.009,-0.28,-3.845,-9.949,-24.231,2
0.127,0.996,-0.211,-3.54,-12.634,-26.184,2
0.132,1.017,-0.15,-2.686,-10.437,-25.33,2
0.132,1.046,-0.136,-0.549,-4.211,-25.085,2
0.128,1.065,-0.152,4.211,3.54,-26.367,2
0.112,1.045,-0.189,12.146,10.376,-29.968,2
0.123,1.034,-0.236,20.813,15.747,-33.02,2
0.12,1.029,-0.274,24.597,18.86,-34.851,2
0.129,1.028,-0.281,21.851,18.738,-37.842,2
0.158,0.982,-0.293,20.752,18.616,-43.823,2
0.167,0.884,-0.306,19.592,19.653,-50.293,2
0.186,0.791,-0.318,18.982,20.447,-54.26,2
0.215,0.717,-0.318,17.029,19.348,-53.711,2
0.232,0.662,-0.294,10.864,17.334,-50.598,2
0.253,0.609,-0.267,11.78,15.625,-46.326,2
0.265,0.586,-0.233,12.024,14.648,-39.246,2
0.278,0.57,-0.204,15.198,14.771,-31.189,2
0.282,0.582,-0.187,20.447,16.541,-21.79,2
0.284,0.629,-0.18,25.513,19.653,-11.963,2
0.287,0.682,-0.193,33.142,22.583,-3.967,2
0.283,0.741,-0.207,36.194,24.841,1.465,2
0.286,0.787,-0.238,37.415,26.001,4.7,2
0.264,0.815,-0.268,35.217,26.855,6.653,2
0.269,0.834,-0.295,35.156,26.855,8.179,2
0.262,0.856,-0.313,32.959,26.184,10.254,2
0.268,0.872,-0.322,29.114,24.536,11.414,2
0.272,0.875,-0.317,23.621,21.545,11.292,2
0.274,0.884,-0.296,18.799,17.761,11.536,2
0.266,0.877,-0.249,13.428,14.099,11.475,2
0.253,0.856,-0.198,14.465,11.719,11.475,2
0.246,0.876,-0.164,15.198,12.817,13.489,2
0.237,0.911,-0.159,19.531,16.663,15.93,2
0.236,0.951,-0.182,26.672,21.057,17.334,2
0.23,0.97,-0.209,31.128,23.621,16.479,2
0.224,0.967,-0.231,32.898,23.682,14.282,2
0.216,0.95,-0.252,33.875,23.437,12.39,2
0.218,0.953,-0.268,33.936,23.193,12.512,2
0.215,0.959,-0.279,33.386,22.095,13.123,2
0.212,0.972,-0.273,32.715,20.02,13.428,2
0.207,0.978,-0.261,32.288,17.761,12.817,2
0.201,0.99,-0.246,32.043,15.93,12.268,2
0.196,1.011,-0.228,33.264,14.832,12.024,2
0.189,1.032,-0.206,34.119,13.611,11.108,2
0.191,1.034,-0.185,34.912,13.123,8.789,2
0.179,1.006,-0.175,36.255,13.428,5.676,2
0.171,0.974,-0.157,36.987,13.428,3.54,2
0.17,0.946,-0.119,37.842,11.902,2.686,2
0.165,0.952,-0.063,35.278,11.047,3.357,2
0.168,0.948,-0.021,36.072,11.841,3.052,2
0.156,0.932,-0.012,40.527,15.991,2.136,2
0.155,0.932,-0.029,43.518,21.912,2.38,2
0.157,0.945,-0.058,46.814,26.245,3.235,2
0.164,0.939,-0.084,49.255,27.832,2.93,2
0.159,0.907,-0.095,49.438,26.978,1.465,2
0.156,0.854,-0.102,49.316,25.208,0.366,2
0.154,0.837,-0.105,48.584,24.719,3.052,2
0.159,0.867,-0.117,48.95,24.841,8.667,2
0.144,0.912,-0.138,45.898,25.085,13.916,2
0.152,0.949,-0.15,43.335,23.56,16.113,2
0.147,0.974,-0.15,40.222,21.79,15.991,2
0.144,0.995,-0.14,36.255,20.203,15.381,2
0.146,1.002,-0.121,35.645,18.127,14.465,2
0.146,1.011,-0.087,35.522,16.174,13.672,2
0.113,1.098,0.058,38.635,15.32,13.55,2
0.121,1.114,0.259,60.974,21.667,10.01,2
0.138,1.038,0.05,75.928,39.49,4.578,2
0.085,1.299,-0.236,47.852,44.8,3.662,2
0.084,1.121,-0.228,39.185,20.813,-1.587,2
0.143,0.928,-0.144,78.247,-5.493,-1.587,2
0.137,1.079,-0.033,52.795,-1.465,4.578,2
0.13,1.028,0.064,38.757,3.601,9.583,2
0.134,0.983,0.084,31.982,7.69,8.667,2
0.161,0.98,0.039,21.851,9.949,4.211,2
0.164,0.966,0.046,19.714,10.071,2.319,2
0.161,0.962,0.063,19.775,9.277,1.709,2
0.164,0.97,0.073,17.334,8.301,1.282,2
0.161,0.944,0.066,15.015,7.324,0.793,2
0.17,0.933,0.061,12.39,6.042,0.122,2
0.176,0.948,0.05,10.193,4.883,-0.916,2
0.19,0.899,0.122,8.911,3.967,-2.991,2
0.174,0.855,0.103,-0.183,7.324,-4.639,2
0.186,0.963,0.028,-10.01,13.367,-3.845,2
0.165,1.014,-0.079,-10.559,13.977,-5.127,2
0.597,-1.672,-0.278,-2.869,3.235,6.104,3
0.614,-1.655,-0.308,-7.019,2.991,15.991,3
0.613,-1.627,-0.338,-7.996,0.793,27.161,3
0.605,-1.594,-0.344,-6.653,-1.831,38.147,3
0.6,-1.544,-0.337,-5.066,-3.784,47.241,3
0.587,-1.49,-0.329,-5.371,-6.592,54.199,3
0.573,-1.439,-0.307,-7.202,-9.46,59.814,3
0.57,-1.412,-0.299,-9.338,-12.878,64.697,3
0.548,-1.404,-0.292,-10.498,-16.296,69.275,3
0.525,-1.375,-0.274,-13.123,-17.395,72.693,3
0.508,-1.331,-0.303,-17.517,-16.479,75.989,3
0.554,-1.274,-0.252,-20.386,-12.573,80.078,3
0.506,-1.262,-0.278,-19.226,-12.817,89.722,3
0.491,-1.274,-0.277,-14.954,-14.954,98.511,3
0.479,-1.283,-0.271,-15.076,-13.306,102.417,3
0.492,-1.275,-0.26,-21.912,-11.658,103.699,3
